# Abundances quoted by THEVENIN (Grevesse 1984; Holweger via Thevenin 1989)
# abundance in the 12+log10(N/N_H) scale
atomic_number,abundance_log12
1,12.0
2,11.0
3,1.0
4,1.15
5,2.6
6,8.69
7,7.99
8,8.91
9,4.56
10,8.0
11,6.28
12,7.53
13,6.43
14,7.5
15,5.45
16,7.21
17,5.5
18,6.58
19,5.05
20,6.36
21,2.99
22,4.88
23,3.91
24,5.61
25,5.47
26,7.46
27,4.85
28,6.18
29,4.24
30,4.6
31,2.88
32,3.57
33,2.39
34,3.35
35,2.63
36,3.21
37,2.6
38,2.93
39,2.18
40,2.46
41,1.46
42,2.1
43,0.0
44,1.78
45,1.1
46,1.69
47,0.94
48,1.86
49,1.66
50,2.0
51,1.0
52,2.25
53,1.51
54,2.19
55,1.12
56,2.18
57,1.07
58,1.58
59,0.76
60,1.4
61,0.0
62,0.88
63,0.48
64,1.13
65,0.2
66,1.07
67,0.26
68,0.93
69,0.0
70,1.08
71,0.76
72,0.88
73,-0.09
74,0.98
75,0.26
76,1.45
77,1.36
78,1.8
79,1.13
80,1.27
81,0.9
82,1.9
83,0.71
84,-8.0
85,-8.0
86,-8.0
87,-8.0
88,-8.0
89,-8.0
90,0.02
91,-8.0
92,-0.47
