# SIR model converted to cusir preset
"# header: B0 = 0., gamma0 = 0., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,6780.3,337.281,60000.0,3640.0,246200.0,52.0,52.0,-132.18,933270.0,2.1563e-06
1.3,6536.0,218.546,60000.0,3540.0,242900.0,51.5,51.5,-123.34,881550.0,2.113e-06
1.2,6291.9,142.426,60000.0,3440.0,239600.0,51.0,51.0,-113.62,826020.0,2.0567e-06
1.1,6048.5,95.3289,60000.0,3350.0,236300.0,50.5,50.5,-103.1,767750.0,1.9885e-06
1.0,5806.5,66.9004,60000.0,3260.0,233000.0,50.0,50.0,-92.17,709280.0,1.9136e-06
0.9,5569.5,49.4006,60000.0,3190.0,229700.0,49.5,49.5,-81.397,653840.0,1.8391e-06
0.8,5340.7,37.4555,60000.0,3110.0,226400.0,49.0,49.0,-71.261,603650.0,1.7707e-06
0.7,5117.3,28.1571,60000.0,3050.0,223100.0,48.5,48.5,-61.896,558920.0,1.7111e-06
0.6,4902.9,20.6245,60000.0,2990.0,219800.0,48.0,48.0,-53.152,518540.0,1.6569e-06
0.5,4700.4,14.6772,60000.0,2940.0,216500.0,47.5,47.5,-44.754,481010.0,1.6032e-06
0.4,4513.9,10.2694,60000.0,2890.0,213200.0,47.0,47.0,-36.423,445060.0,1.5446e-06
0.3,4342.3,7.13996,60000.0,2850.0,209900.0,46.5,46.5,-27.919,409840.0,1.4786e-06
0.2,4188.8,5.02991,60000.0,2810.0,206600.0,46.0,46.0,-19.069,374910.0,1.4022e-06
0.1,4053.4,3.63176,60000.0,2780.0,203300.0,45.5,45.5,-9.7689,340300.0,1.3152e-06
0.0,3940.5,2.7295,60000.0,2750.0,200000.0,45.0,45.0,0.0,306410.0,1.2182e-06
