# SIR model converted to cusir preset
"# header: B0 = 0.75, gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.2,6710.0,248.848,60000.0,0.0,0.0,0.0,0.0,-144.07,668030.0,1.5596e-06
1.1,6469.2,159.899,60000.0,0.0,0.0,0.0,0.0,-133.93,625350.0,1.5143e-06
1.0,6236.7,104.443,60000.0,0.0,0.0,0.0,0.0,-122.61,579300.0,1.4551e-06
0.9,6012.2,70.4088,60000.0,0.0,0.0,0.0,0.0,-110.15,530880.0,1.3833e-06
0.8,5796.0,49.69,60000.0,0.0,0.0,0.0,0.0,-96.866,482010.0,1.3028e-06
0.7,5599.9,37.2028,60000.0,0.0,0.0,0.0,0.0,-83.302,435150.0,1.2173e-06
0.6,5420.0,28.9289,60000.0,0.0,0.0,0.0,0.0,-69.982,392200.0,1.1336e-06
0.5,5238.5,22.5855,60000.0,0.0,0.0,0.0,0.0,-57.2,353780.0,1.058e-06
0.4,5061.4,17.5358,60000.0,0.0,0.0,0.0,0.0,-45.03,319600.0,9.8918e-07
0.3,4902.0,13.6074,60000.0,0.0,0.0,0.0,0.0,-33.382,289040.0,9.2369e-07
0.2,4755.7,10.4929,60000.0,0.0,0.0,0.0,0.0,-22.101,261430.0,8.6115e-07
0.1,4623.2,8.069,60000.0,0.0,0.0,0.0,0.0,-11.021,236190.0,8.0031e-07
0.0,4504.3,6.21549,60000.0,0.0,0.0,0.0,0.0,0.0,212910.0,7.4049e-07
-0.1,4398.4,4.81613,60000.0,0.0,0.0,0.0,0.0,11.073,191330.0,6.8146e-07
-0.2,4305.7,3.7737,60000.0,0.0,0.0,0.0,0.0,22.274,171310.0,6.2328e-07
-0.3,4225.2,2.99685,60000.0,0.0,0.0,0.0,0.0,33.646,152770.0,5.6642e-07
-0.4,4157.1,2.42086,60000.0,0.0,0.0,0.0,0.0,45.204,135700.0,5.1138e-07
-0.5,4099.6,1.98686,60000.0,0.0,0.0,0.0,0.0,56.942,120100.0,4.5892e-07
-0.6,4053.3,1.66183,60000.0,0.0,0.0,0.0,0.0,68.836,105950.0,4.0947e-07
-0.7,4014.6,1.40782,60000.0,0.0,0.0,0.0,0.0,80.854,93212.0,3.6373e-07
-0.8,3984.7,1.21331,60000.0,0.0,0.0,0.0,0.0,92.969,81832.0,3.2172e-07
-0.9,3957.7,1.04934,60000.0,0.0,0.0,0.0,0.0,105.16,71715.0,2.8387e-07
-1.0,3935.6,0.915799,60000.0,0.0,0.0,0.0,0.0,117.41,62754.0,2.4979e-07
-1.1,3916.2,0.802992,60000.0,0.0,0.0,0.0,0.0,129.71,54844.0,2.1938e-07
-1.2,3900.2,0.708676,60000.0,0.0,0.0,0.0,0.0,142.06,47877.0,1.923e-07
-1.3,3886.2,0.62773,60000.0,0.0,0.0,0.0,0.0,154.44,41757.0,1.6833e-07
-1.4,3874.5,0.55855,60000.0,0.0,0.0,0.0,0.0,166.86,36389.0,1.4713e-07
-1.5,3864.7,0.498893,60000.0,0.0,0.0,0.0,0.0,179.3,31689.0,1.2845e-07
-1.6,3857.1,0.447708,60000.0,0.0,0.0,0.0,0.0,191.76,27582.0,1.1202e-07
-1.7,3849.9,0.402038,60000.0,0.0,0.0,0.0,0.0,204.24,23996.0,9.7641e-08
-1.8,3843.7,0.361766,60000.0,0.0,0.0,0.0,0.0,216.74,20866.0,8.5044e-08
-1.9,3837.4,0.325346,60000.0,0.0,0.0,0.0,0.0,229.26,18136.0,7.4036e-08
-2.0,3831.5,0.292739,60000.0,0.0,0.0,0.0,0.0,241.83,15752.0,6.4403e-08
-2.1,3825.9,0.263444,60000.0,0.0,0.0,0.0,0.0,254.44,13671.0,5.5976e-08
-2.2,3820.5,0.23703,60000.0,0.0,0.0,0.0,0.0,267.13,11853.0,4.8601e-08
-2.3,3815.7,0.213386,60000.0,0.0,0.0,0.0,0.0,279.9,10264.0,4.2141e-08
-2.4,3811.2,0.192036,60000.0,0.0,0.0,0.0,0.0,292.79,8876.2,3.6484e-08
-2.5,3807.3,0.172841,60000.0,0.0,0.0,0.0,0.0,305.82,7662.0,3.1526e-08
-2.6,3803.8,0.155456,60000.0,0.0,0.0,0.0,0.0,319.03,6599.3,2.7178e-08
-2.7,3800.9,0.139723,60000.0,0.0,0.0,0.0,0.0,332.49,5668.0,2.3361e-08
-2.8,3798.5,0.125391,60000.0,0.0,0.0,0.0,0.0,346.25,4850.7,2.0005e-08
-2.9,3796.7,0.112288,60000.0,0.0,0.0,0.0,0.0,360.42,4131.8,1.7048e-08
-3.0,3795.5,0.100223,60000.0,0.0,0.0,0.0,0.0,375.14,3497.6,1.4436e-08
-3.1,3794.2,0.0888572,60000.0,0.0,0.0,0.0,0.0,390.62,2935.6,1.212e-08
-3.2,3792.9,0.0780641,60000.0,0.0,0.0,0.0,0.0,407.19,2434.0,1.0053e-08
-3.3,3792.8,0.0678428,60000.0,0.0,0.0,0.0,0.0,425.36,1982.1,8.1866e-09
-3.4,3793.5,0.0578182,60000.0,0.0,0.0,0.0,0.0,446.09,1569.1,6.4797e-09
-3.5,3794.9,0.0475314,60000.0,0.0,0.0,0.0,0.0,471.35,1182.2,4.8802e-09
-3.6,3797.1,0.0359184,60000.0,0.0,0.0,0.0,0.0,506.84,800.0,3.3005e-09
