# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.3,9150.7,3719.0,271700.0,0.0,0.0,0.0,0.0,-89.31,180900.0,3.034e-07
1.2,8972.0,3025.0,269100.0,0.0,0.0,0.0,0.0,-82.93,176100.0,3.021e-07
1.1,8783.9,2415.0,265600.0,0.0,0.0,0.0,0.0,-76.68,171400.0,3.013e-07
1.0,8587.3,1897.0,261400.0,0.0,0.0,0.0,0.0,-70.56,166800.0,3.007e-07
0.9,8383.0,1454.0,258100.0,0.0,0.0,0.0,0.0,-64.5,162200.0,3.004e-07
0.8,8176.9,1103.0,254000.0,0.0,0.0,0.0,0.0,-58.44,157700.0,3e-07
0.7,7969.3,821.4,246800.0,0.0,0.0,0.0,0.0,-52.33,153000.0,2.993e-07
0.6,7757.6,599.0,240900.0,0.0,0.0,0.0,0.0,-46.11,148300.0,2.983e-07
0.5,7542.6,429.5,235700.0,0.0,0.0,0.0,0.0,-39.76,143400.0,2.97e-07
0.4,7320.6,297.6,229100.0,0.0,0.0,0.0,0.0,-33.05,138100.0,2.95e-07
0.3,7093.1,200.7,221200.0,0.0,0.0,0.0,0.0,-25.9,132600.0,2.923e-07
0.2,6861.8,132.0,212500.0,0.0,0.0,0.0,0.0,-18.22,126700.0,2.889e-07
0.1,6633.3,85.27,204500.0,0.0,0.0,0.0,0.0,-9.678,120300.0,2.837e-07
0.0,6428.1,56.35,195200.0,0.0,0.0,0.0,0.0,-1.192e-07,113200.0,2.757e-07
-0.1,6241.8,38.14,187700.0,0.0,0.0,0.0,0.0,10.69,105700.0,2.651e-07
-0.2,6066.5,26.2,184500.0,0.0,0.0,0.0,0.0,22.51,97720.0,2.523e-07
-0.3,5897.5,18.22,182000.0,0.0,0.0,0.0,0.0,35.22,89710.0,2.382e-07
-0.4,5739.2,13.04,181100.0,0.0,0.0,0.0,0.0,49.19,81460.0,2.223e-07
-0.5,5600.6,9.816,180400.0,0.0,0.0,0.0,0.0,64.07,73150.0,2.046e-07
-0.6,5471.3,7.538,180000.0,0.0,0.0,0.0,0.0,79.22,65450.0,1.874e-07
-0.7,5364.3,6.055,180000.0,0.0,0.0,0.0,0.0,94.95,58070.0,1.696e-07
-0.8,5271.7,4.975,180000.0,0.0,0.0,0.0,0.0,110.8,51320.0,1.525e-07
-0.9,5187.2,4.139,180000.0,0.0,0.0,0.0,0.0,126.7,45250.0,1.367e-07
-1.0,5114.4,3.495,180000.0,0.0,0.0,0.0,0.0,142.5,39800.0,1.219e-07
-1.1,5048.5,2.97,180000.0,0.0,0.0,0.0,0.0,158.3,34970.0,1.085e-07
-1.2,4988.7,2.537,180000.0,0.0,0.0,0.0,0.0,174.0,30690.0,9.637e-08
-1.3,4940.9,2.187,180000.0,0.0,0.0,0.0,0.0,189.7,26890.0,8.526e-08
-1.4,4897.2,1.893,180000.0,0.0,0.0,0.0,0.0,205.1,23590.0,7.545e-08
-1.5,4859.6,1.649,180000.0,0.0,0.0,0.0,0.0,220.2,20730.0,6.684e-08
-1.6,4822.0,1.437,180000.0,0.0,0.0,0.0,0.0,235.2,18230.0,5.921e-08
-1.7,4784.7,1.252,180000.0,0.0,0.0,0.0,0.0,250.2,16020.0,5.245e-08
-1.8,4756.5,1.099,180000.0,0.0,0.0,0.0,0.0,265.0,14090.0,4.639e-08
-1.9,4728.5,0.9645,180000.0,0.0,0.0,0.0,0.0,279.7,12380.0,4.103e-08
-2.0,4700.4,0.8465,180000.0,0.0,0.0,0.0,0.0,294.5,10890.0,3.629e-08
-2.1,4674.2,0.7431,180000.0,0.0,0.0,0.0,0.0,309.3,9563.0,3.205e-08
-2.2,4649.2,0.6525,180000.0,0.0,0.0,0.0,0.0,324.0,8394.0,2.829e-08
-2.3,4624.1,0.5729,180000.0,0.0,0.0,0.0,0.0,338.7,7368.0,2.496e-08
-2.4,4600.0,0.5032,180000.0,0.0,0.0,0.0,0.0,353.4,6466.0,2.202e-08
-2.5,4577.1,0.442,180000.0,0.0,0.0,0.0,0.0,367.9,5671.0,1.941e-08
-2.6,4554.3,0.3883,180000.0,0.0,0.0,0.0,0.0,382.5,4974.0,1.711e-08
-2.7,4531.4,0.3412,180000.0,0.0,0.0,0.0,0.0,397.1,4363.0,1.508e-08
-2.8,4510.3,0.2991,180000.0,0.0,0.0,0.0,0.0,411.9,3814.0,1.325e-08
-2.9,4489.4,0.2622,180000.0,0.0,0.0,0.0,0.0,426.7,3333.0,1.163e-08
-3.0,4468.5,0.2298,180000.0,0.0,0.0,0.0,0.0,441.5,2913.0,1.021e-08
-3.1,4445.1,0.1999,180000.0,0.0,0.0,0.0,0.0,456.8,2529.0,8.914e-09
-3.2,4419.9,0.1729,180000.0,0.0,0.0,0.0,0.0,472.5,2186.0,7.747e-09
-3.3,4393.8,0.1491,180000.0,0.0,0.0,0.0,0.0,488.5,1883.0,6.715e-09
-3.4,4363.8,0.1268,180000.0,0.0,0.0,0.0,0.0,505.5,1604.0,5.759e-09
-3.5,4333.1,0.1074,180000.0,0.0,0.0,0.0,0.0,522.9,1360.0,4.915e-09
-3.6,4299.4,0.08922,180000.0,0.0,0.0,0.0,0.0,542.0,1131.0,4.122e-09
-3.7,4265.7,0.07413,180000.0,0.0,0.0,0.0,0.0,561.1,941.1,3.456e-09
-3.8,4225.2,0.05953,180000.0,0.0,0.0,0.0,0.0,583.6,757.9,2.81e-09
-3.9,4178.8,0.04641,180000.0,0.0,0.0,0.0,0.0,609.1,593.3,2.224e-09
-4.0,4119.0,0.03526,180000.0,0.0,0.0,0.0,0.0,639.2,457.3,1.739e-09
-4.1,4036.8,0.02568,180000.0,0.0,0.0,0.0,0.0,676.9,343.6,1.333e-09
-4.2,3937.0,0.02074,181500.0,0.0,0.0,0.0,0.0,720.9,301.7,1.201e-09
-4.3,3845.5,0.0181,184200.0,0.0,0.0,0.0,0.0,761.0,293.4,1.195e-09
-4.4,3799.0,0.01727,191700.0,0.0,0.0,0.0,0.0,792.3,300.5,1.239e-09
-4.5,3817.5,0.01757,200600.0,0.0,0.0,0.0,0.0,816.5,296.9,1.218e-09
-4.6,3876.9,0.01845,211200.0,0.0,0.0,0.0,0.0,837.4,286.0,1.156e-09
-4.7,3988.3,0.02002,241500.0,0.0,0.0,0.0,0.0,855.4,271.4,1.066e-09
-4.8,4190.0,0.02265,460000.0,0.0,0.0,0.0,0.0,871.5,263.1,9.839e-10
