# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,9427.2,5140.0,0.0,0.0,0.0,0.0,0.0,-97.89,195300.0,3.167e-07
1.3,9249.1,4217.0,0.0,0.0,0.0,0.0,0.0,-91.04,189400.0,3.143e-07
1.2,9068.9,3437.0,0.0,0.0,0.0,0.0,0.0,-84.3,183800.0,3.121e-07
1.1,8885.4,2774.0,0.0,0.0,0.0,0.0,0.0,-77.75,178300.0,3.104e-07
1.0,8683.8,2165.0,0.0,0.0,0.0,0.0,0.0,-71.33,173000.0,3.092e-07
0.9,8479.3,1672.0,0.0,0.0,0.0,0.0,0.0,-64.94,167800.0,3.082e-07
0.8,8275.1,1277.0,0.0,0.0,0.0,0.0,0.0,-58.56,162800.0,3.075e-07
0.7,8069.3,957.6,0.0,0.0,0.0,0.0,0.0,-52.13,157700.0,3.062e-07
0.6,7863.2,711.1,0.0,0.0,0.0,0.0,0.0,-45.65,152600.0,3.047e-07
0.5,7657.9,519.2,0.0,0.0,0.0,0.0,0.0,-39.03,147400.0,3.028e-07
0.4,7445.6,369.2,0.0,0.0,0.0,0.0,0.0,-32.18,142100.0,3.008e-07
0.3,7227.2,256.3,0.0,0.0,0.0,0.0,0.0,-25.08,136600.0,2.986e-07
0.2,6999.9,171.8,0.0,0.0,0.0,0.0,0.0,-17.5,130800.0,2.957e-07
0.1,6779.2,113.7,0.0,0.0,0.0,0.0,0.0,-9.116,124500.0,2.912e-07
0.0,6583.2,77.42,0.0,0.0,0.0,0.0,0.0,0.0,117900.0,2.842e-07
-0.1,6398.8,53.07,0.0,0.0,0.0,0.0,0.0,9.89,110800.0,2.747e-07
-0.2,6219.8,36.37,0.0,0.0,0.0,0.0,0.0,20.67,103400.0,2.635e-07
-0.3,6055.5,25.47,0.0,0.0,0.0,0.0,0.0,32.5,95680.0,2.497e-07
-0.4,5889.9,17.82,0.0,0.0,0.0,0.0,0.0,45.27,87780.0,2.344e-07
-0.5,5739.5,12.89,0.0,0.0,0.0,0.0,0.0,59.17,79700.0,2.174e-07
-0.6,5617.2,9.875,0.0,0.0,0.0,0.0,0.0,73.74,71900.0,2e-07
-0.7,5507.3,7.793,0.0,0.0,0.0,0.0,0.0,88.87,64380.0,1.824e-07
-0.8,5404.0,6.244,0.0,0.0,0.0,0.0,0.0,104.3,57440.0,1.657e-07
-0.9,5316.5,5.159,0.0,0.0,0.0,0.0,0.0,119.9,50980.0,1.494e-07
-1.0,5235.1,4.303,0.0,0.0,0.0,0.0,0.0,135.5,45170.0,1.343e-07
-1.1,5160.4,3.626,0.0,0.0,0.0,0.0,0.0,151.0,39950.0,1.204e-07
-1.2,5102.6,3.111,0.0,0.0,0.0,0.0,0.0,166.4,35320.0,1.076e-07
-1.3,5050.5,2.684,0.0,0.0,0.0,0.0,0.0,181.6,31210.0,9.597e-08
-1.4,5008.4,2.336,0.0,0.0,0.0,0.0,0.0,196.6,27550.0,8.538e-08
-1.5,4972.8,2.05,0.0,0.0,0.0,0.0,0.0,211.0,24420.0,7.616e-08
-1.6,4942.1,1.811,0.0,0.0,0.0,0.0,0.0,225.0,21700.0,6.807e-08
-1.7,4911.5,1.599,0.0,0.0,0.0,0.0,0.0,238.9,19290.0,6.083e-08
-1.8,4880.8,1.413,0.0,0.0,0.0,0.0,0.0,252.8,17140.0,5.437e-08
-1.9,4855.6,1.262,0.0,0.0,0.0,0.0,0.0,265.4,15370.0,4.896e-08
-2.0,4830.6,1.128,0.0,0.0,0.0,0.0,0.0,277.9,13790.0,4.41e-08
-2.1,4805.6,1.008,0.0,0.0,0.0,0.0,0.0,290.4,12370.0,3.972e-08
-2.2,4780.5,0.901,0.0,0.0,0.0,0.0,0.0,302.9,11100.0,3.578e-08
-2.3,4762.7,0.8238,0.0,0.0,0.0,0.0,0.0,312.8,10160.0,3.286e-08
-2.4,4745.0,0.7536,0.0,0.0,0.0,0.0,0.0,322.6,9310.0,3.018e-08
-2.5,4727.4,0.6894,0.0,0.0,0.0,0.0,0.0,332.4,8530.0,2.773e-08
-2.6,4709.7,0.6307,0.0,0.0,0.0,0.0,0.0,342.3,7816.0,2.547e-08
-2.7,4692.0,0.577,0.0,0.0,0.0,0.0,0.0,352.1,7161.0,2.34e-08
-2.8,4687.7,0.5636,0.0,0.0,0.0,0.0,0.0,354.6,6997.0,2.288e-08
