# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.3,9118.0,3650.0,272600.0,0.0,0.0,0.0,0.0,-91.38,185800.0,3.13e-07
1.2,8936.8,2947.0,269900.0,0.0,0.0,0.0,0.0,-84.94,180600.0,3.115e-07
1.1,8752.4,2362.0,266900.0,0.0,0.0,0.0,0.0,-78.56,175500.0,3.1e-07
1.0,8557.7,1849.0,262600.0,0.0,0.0,0.0,0.0,-72.34,170500.0,3.085e-07
0.9,8358.4,1424.0,259000.0,0.0,0.0,0.0,0.0,-66.15,165400.0,3.073e-07
0.8,8156.3,1086.0,255700.0,0.0,0.0,0.0,0.0,-59.99,160500.0,3.063e-07
0.7,7950.6,806.0,248400.0,0.0,0.0,0.0,0.0,-53.76,155400.0,3.047e-07
0.6,7741.6,589.9,241900.0,0.0,0.0,0.0,0.0,-47.43,150300.0,3.03e-07
0.5,7527.6,422.5,236800.0,0.0,0.0,0.0,0.0,-40.95,145100.0,3.011e-07
0.4,7306.8,292.4,230100.0,0.0,0.0,0.0,0.0,-34.06,139400.0,2.982e-07
0.3,7081.9,197.8,222300.0,0.0,0.0,0.0,0.0,-26.77,133400.0,2.947e-07
0.2,6853.2,130.3,213200.0,0.0,0.0,0.0,0.0,-18.88,127100.0,2.902e-07
0.1,6625.1,83.98,204900.0,0.0,0.0,0.0,0.0,-10.06,120200.0,2.839e-07
0.0,6407.6,54.29,195200.0,0.0,0.0,0.0,0.0,3.576e-07,113400.0,2.771e-07
-0.1,6213.7,36.16,187500.0,0.0,0.0,0.0,0.0,11.26,105700.0,2.664e-07
-0.2,6032.3,24.53,184200.0,0.0,0.0,0.0,0.0,23.84,97300.0,2.527e-07
-0.3,5856.1,16.86,181800.0,0.0,0.0,0.0,0.0,37.55,88930.0,2.379e-07
-0.4,5691.4,12.01,180900.0,0.0,0.0,0.0,0.0,52.63,80590.0,2.218e-07
-0.5,5548.1,9.031,180300.0,0.0,0.0,0.0,0.0,68.54,72420.0,2.045e-07
-0.6,5437.9,7.121,180000.0,0.0,0.0,0.0,0.0,84.99,64170.0,1.848e-07
-0.7,5350.0,5.807,180000.0,0.0,0.0,0.0,0.0,101.9,56350.0,1.65e-07
-0.8,5260.3,4.8,180000.0,0.0,0.0,0.0,0.0,119.1,49820.0,1.484e-07
-0.9,5178.4,4.019,180000.0,0.0,0.0,0.0,0.0,136.2,44040.0,1.332e-07
