# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,9433.3,5176.0,0.0,0.0,0.0,0.0,0.0,-97.56,195700.0,3.169e-07
1.3,9255.3,4249.0,0.0,0.0,0.0,0.0,0.0,-90.71,189900.0,3.148e-07
1.2,9075.4,3467.0,0.0,0.0,0.0,0.0,0.0,-83.97,184200.0,3.128e-07
1.1,8892.1,2798.0,0.0,0.0,0.0,0.0,0.0,-77.43,178700.0,3.109e-07
1.0,8691.6,2188.0,0.0,0.0,0.0,0.0,0.0,-71.02,173400.0,3.097e-07
0.9,8487.4,1691.0,0.0,0.0,0.0,0.0,0.0,-64.64,168200.0,3.086e-07
0.8,8283.3,1290.0,0.0,0.0,0.0,0.0,0.0,-58.26,163100.0,3.075e-07
0.7,8077.8,969.3,0.0,0.0,0.0,0.0,0.0,-51.84,158100.0,3.064e-07
0.6,7871.8,720.9,0.0,0.0,0.0,0.0,0.0,-45.37,153100.0,3.051e-07
0.5,7666.7,526.4,0.0,0.0,0.0,0.0,0.0,-38.76,147700.0,3.03e-07
0.4,7455.3,375.2,0.0,0.0,0.0,0.0,0.0,-31.93,142400.0,3.011e-07
0.3,7237.9,261.4,0.0,0.0,0.0,0.0,0.0,-24.88,137100.0,2.992e-07
0.2,7011.5,175.5,0.0,0.0,0.0,0.0,0.0,-17.33,131300.0,2.964e-07
0.1,6791.5,116.4,0.0,0.0,0.0,0.0,0.0,-9.028,125000.0,2.916e-07
0.0,6594.4,79.17,0.0,0.0,0.0,0.0,0.0,0.0,118400.0,2.846e-07
-0.1,6410.7,54.38,0.0,0.0,0.0,0.0,0.0,9.795,111300.0,2.753e-07
-0.2,6232.2,37.33,0.0,0.0,0.0,0.0,0.0,20.46,104000.0,2.641e-07
-0.3,6067.6,26.13,0.0,0.0,0.0,0.0,0.0,32.15,96370.0,2.504e-07
-0.4,5903.6,18.32,0.0,0.0,0.0,0.0,0.0,44.75,88540.0,2.351e-07
-0.5,5750.1,13.16,0.0,0.0,0.0,0.0,0.0,58.47,80520.0,2.183e-07
-0.6,5628.3,10.09,0.0,0.0,0.0,0.0,0.0,72.97,72670.0,2.007e-07
-0.7,5517.1,7.93,0.0,0.0,0.0,0.0,0.0,87.97,65150.0,1.832e-07
-0.8,5412.8,6.338,0.0,0.0,0.0,0.0,0.0,103.3,58170.0,1.664e-07
-0.9,5325.2,5.233,0.0,0.0,0.0,0.0,0.0,118.9,51650.0,1.5e-07
-1.0,5242.6,4.356,0.0,0.0,0.0,0.0,0.0,134.4,45800.0,1.35e-07
-1.1,5168.2,3.671,0.0,0.0,0.0,0.0,0.0,149.9,40530.0,1.21e-07
-1.2,5108.5,3.143,0.0,0.0,0.0,0.0,0.0,165.2,35840.0,1.081e-07
-1.3,5055.1,2.708,0.0,0.0,0.0,0.0,0.0,180.5,31680.0,9.646e-08
-1.4,5013.1,2.356,0.0,0.0,0.0,0.0,0.0,195.5,27970.0,8.581e-08
-1.5,4976.2,2.064,0.0,0.0,0.0,0.0,0.0,210.0,24770.0,7.649e-08
-1.6,4945.6,1.823,0.0,0.0,0.0,0.0,0.0,223.9,22020.0,6.835e-08
-1.7,4915.0,1.61,0.0,0.0,0.0,0.0,0.0,237.8,19570.0,6.109e-08
-1.8,4884.4,1.422,0.0,0.0,0.0,0.0,0.0,251.7,17400.0,5.459e-08
-1.9,4860.9,1.272,0.0,0.0,0.0,0.0,0.0,264.4,15590.0,4.911e-08
-2.0,4838.6,1.139,0.0,0.0,0.0,0.0,0.0,276.9,13990.0,4.423e-08
-2.1,4816.4,1.021,0.0,0.0,0.0,0.0,0.0,289.4,12550.0,3.983e-08
-2.2,4794.1,0.9142,0.0,0.0,0.0,0.0,0.0,301.9,11260.0,3.587e-08
-2.3,4778.5,0.8359,0.0,0.0,0.0,0.0,0.0,312.1,10290.0,3.286e-08
-2.4,4764.0,0.7667,0.0,0.0,0.0,0.0,0.0,322.0,9431.0,3.019e-08
-2.5,4749.5,0.7033,0.0,0.0,0.0,0.0,0.0,331.8,8644.0,2.773e-08
-2.6,4734.9,0.6452,0.0,0.0,0.0,0.0,0.0,341.6,7923.0,2.548e-08
-2.7,4720.4,0.5918,0.0,0.0,0.0,0.0,0.0,351.4,7262.0,2.34e-08
-2.8,4715.3,0.5736,0.0,0.0,0.0,0.0,0.0,354.9,7036.0,2.269e-08
-2.9,4713.0,0.5653,0.0,0.0,0.0,0.0,0.0,356.6,6933.0,2.237e-08
-3.0,4710.7,0.5572,0.0,0.0,0.0,0.0,0.0,358.2,6832.0,2.205e-08
-3.1,4708.4,0.5491,0.0,0.0,0.0,0.0,0.0,359.8,6733.0,2.173e-08
-3.2,4706.1,0.5412,0.0,0.0,0.0,0.0,0.0,361.5,6635.0,2.142e-08
-3.3,4703.9,0.5334,0.0,0.0,0.0,0.0,0.0,363.1,6538.0,2.112e-08
-3.4,4701.6,0.5257,0.0,0.0,0.0,0.0,0.0,364.7,6443.0,2.082e-08
-3.5,4699.3,0.5181,0.0,0.0,0.0,0.0,0.0,366.3,6349.0,2.052e-08
-3.6,4697.0,0.5106,0.0,0.0,0.0,0.0,0.0,368.0,6256.0,2.023e-08
-3.7,4694.8,0.5033,0.0,0.0,0.0,0.0,0.0,369.6,6165.0,1.994e-08
-3.8,4692.5,0.496,0.0,0.0,0.0,0.0,0.0,371.2,6075.0,1.965e-08
-3.9,4690.2,0.4888,0.0,0.0,0.0,0.0,0.0,372.8,5987.0,1.937e-08
-4.0,4687.9,0.4818,0.0,0.0,0.0,0.0,0.0,374.5,5900.0,1.91e-08
-4.1,4685.7,0.4748,0.0,0.0,0.0,0.0,0.0,376.1,5814.0,1.882e-08
-4.2,4683.4,0.468,0.0,0.0,0.0,0.0,0.0,377.7,5729.0,1.855e-08
-4.3,4681.1,0.4612,0.0,0.0,0.0,0.0,0.0,379.3,5646.0,1.829e-08
-4.4,4678.8,0.4546,0.0,0.0,0.0,0.0,0.0,381.0,5564.0,1.803e-08
-4.5,4676.5,0.448,0.0,0.0,0.0,0.0,0.0,382.6,5483.0,1.777e-08
-4.6,4674.3,0.4416,0.0,0.0,0.0,0.0,0.0,384.2,5403.0,1.752e-08
-4.7,4672.0,0.4352,0.0,0.0,0.0,0.0,0.0,385.8,5324.0,1.727e-08
-4.8,4669.7,0.4289,0.0,0.0,0.0,0.0,0.0,387.5,5246.0,1.702e-08
-4.9,4667.4,0.4227,0.0,0.0,0.0,0.0,0.0,389.1,5170.0,1.678e-08
-5.0,4665.2,0.4166,0.0,0.0,0.0,0.0,0.0,390.7,5095.0,1.654e-08
-5.1,4662.9,0.4106,0.0,0.0,0.0,0.0,0.0,392.4,5021.0,1.63e-08
-5.2,4660.6,0.4047,0.0,0.0,0.0,0.0,0.0,394.0,4947.0,1.607e-08
-5.3,4658.3,0.3989,0.0,0.0,0.0,0.0,0.0,395.6,4875.0,1.584e-08
-5.4,4656.1,0.3931,0.0,0.0,0.0,0.0,0.0,397.2,4804.0,1.561e-08
-5.5,4653.8,0.3874,0.0,0.0,0.0,0.0,0.0,398.9,4734.0,1.539e-08
-5.6,4651.5,0.3818,0.0,0.0,0.0,0.0,0.0,400.5,4665.0,1.517e-08
-5.7,4649.2,0.3763,0.0,0.0,0.0,0.0,0.0,402.1,4598.0,1.495e-08
