# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.3,9032.2,3367.0,273200.0,0.0,0.0,0.0,0.0,-92.81,189200.0,3.223e-07
1.2,8859.8,2728.0,270500.0,0.0,0.0,0.0,0.0,-86.26,183500.0,3.196e-07
1.1,8685.8,2204.0,267600.0,0.0,0.0,0.0,0.0,-79.72,178000.0,3.17e-07
1.0,8492.7,1720.0,263300.0,0.0,0.0,0.0,0.0,-73.39,172600.0,3.152e-07
0.9,8297.1,1326.0,259500.0,0.0,0.0,0.0,0.0,-67.09,167300.0,3.135e-07
0.8,8099.2,1011.0,256200.0,0.0,0.0,0.0,0.0,-60.82,162200.0,3.118e-07
0.7,7896.6,751.2,249300.0,0.0,0.0,0.0,0.0,-54.48,156800.0,3.097e-07
0.6,7690.7,550.4,242400.0,0.0,0.0,0.0,0.0,-48.06,151400.0,3.074e-07
0.5,7478.8,392.9,237200.0,0.0,0.0,0.0,0.0,-41.45,145900.0,3.048e-07
0.4,7261.4,272.5,230500.0,0.0,0.0,0.0,0.0,-34.45,140000.0,3.016e-07
0.3,7041.6,185.2,222600.0,0.0,0.0,0.0,0.0,-27.05,133900.0,2.975e-07
0.2,6820.2,123.1,213300.0,0.0,0.0,0.0,0.0,-19.03,127300.0,2.922e-07
0.1,6599.4,80.13,204900.0,0.0,0.0,0.0,0.0,-10.09,120300.0,2.854e-07
0.0,6384.1,51.88,195200.0,0.0,0.0,0.0,0.0,-2.384e-07,113200.0,2.776e-07
-0.1,6193.7,34.74,187500.0,0.0,0.0,0.0,0.0,11.34,105300.0,2.662e-07
-0.2,6014.5,23.68,184200.0,0.0,0.0,0.0,0.0,23.97,96920.0,2.524e-07
-0.3,5831.3,16.15,181800.0,0.0,0.0,0.0,0.0,37.69,88970.0,2.39e-07
-0.4,5678.2,11.72,180900.0,0.0,0.0,0.0,0.0,52.72,80270.0,2.215e-07
-0.5,5551.9,9.007,180300.0,0.0,0.0,0.0,0.0,68.51,71800.0,2.026e-07
