# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,9443.1,5236.0,0.0,0.0,0.0,0.0,0.0,-97.43,196200.0,3.174e-07
1.3,9265.2,4299.0,0.0,0.0,0.0,0.0,0.0,-90.58,190400.0,3.154e-07
1.2,9085.7,3511.0,0.0,0.0,0.0,0.0,0.0,-83.83,184700.0,3.134e-07
1.1,8902.6,2834.0,0.0,0.0,0.0,0.0,0.0,-77.29,179300.0,3.115e-07
1.0,8703.2,2220.0,0.0,0.0,0.0,0.0,0.0,-70.87,173900.0,3.1e-07
0.9,8499.0,1718.0,0.0,0.0,0.0,0.0,0.0,-64.49,168700.0,3.087e-07
0.8,8294.8,1311.0,0.0,0.0,0.0,0.0,0.0,-58.11,163500.0,3.078e-07
0.7,8089.4,985.9,0.0,0.0,0.0,0.0,0.0,-51.69,158500.0,3.067e-07
0.6,7883.3,734.0,0.0,0.0,0.0,0.0,0.0,-45.23,153500.0,3.054e-07
0.5,7678.2,536.2,0.0,0.0,0.0,0.0,0.0,-38.62,148200.0,3.036e-07
0.4,7467.4,383.0,0.0,0.0,0.0,0.0,0.0,-31.81,142900.0,3.016e-07
0.3,7250.6,267.4,0.0,0.0,0.0,0.0,0.0,-24.79,137500.0,2.994e-07
0.2,7024.1,179.4,0.0,0.0,0.0,0.0,0.0,-17.24,131700.0,2.967e-07
0.1,6803.4,119.1,0.0,0.0,0.0,0.0,0.0,-8.977,125500.0,2.922e-07
0.0,6604.6,80.85,0.0,0.0,0.0,0.0,0.0,0.0,118800.0,2.854e-07
-0.1,6420.7,55.55,0.0,0.0,0.0,0.0,0.0,9.747,111800.0,2.761e-07
-0.2,6242.0,38.14,0.0,0.0,0.0,0.0,0.0,20.35,104500.0,2.651e-07
-0.3,6076.6,26.67,0.0,0.0,0.0,0.0,0.0,31.99,96890.0,2.515e-07
-0.4,5913.2,18.71,0.0,0.0,0.0,0.0,0.0,44.5,89090.0,2.363e-07
-0.5,5757.1,13.37,0.0,0.0,0.0,0.0,0.0,58.15,81070.0,2.196e-07
-0.6,5635.3,10.25,0.0,0.0,0.0,0.0,0.0,72.64,73170.0,2.019e-07
-0.7,5523.1,8.039,0.0,0.0,0.0,0.0,0.0,87.58,65650.0,1.844e-07
-0.8,5418.9,6.426,0.0,0.0,0.0,0.0,0.0,102.9,58610.0,1.675e-07
-0.9,5330.3,5.296,0.0,0.0,0.0,0.0,0.0,118.4,52070.0,1.511e-07
-1.0,5247.1,4.403,0.0,0.0,0.0,0.0,0.0,134.0,46190.0,1.36e-07
-1.1,5172.8,3.712,0.0,0.0,0.0,0.0,0.0,149.5,40870.0,1.219e-07
-1.2,5111.9,3.173,0.0,0.0,0.0,0.0,0.0,164.8,36140.0,1.089e-07
-1.3,5058.6,2.734,0.0,0.0,0.0,0.0,0.0,180.0,31950.0,9.716e-08
-1.4,5033.4,2.413,0.0,0.0,0.0,0.0,0.0,195.0,28220.0,8.623e-08
-1.5,5006.2,2.131,0.0,0.0,0.0,0.0,0.0,209.7,24990.0,7.675e-08
-1.6,4976.1,1.883,0.0,0.0,0.0,0.0,0.0,223.6,22220.0,6.861e-08
-1.7,4945.9,1.663,0.0,0.0,0.0,0.0,0.0,237.6,19760.0,6.133e-08
-1.8,4915.8,1.47,0.0,0.0,0.0,0.0,0.0,251.5,17570.0,5.482e-08
-1.9,4894.0,1.316,0.0,0.0,0.0,0.0,0.0,264.4,15740.0,4.931e-08
-2.0,4874.1,1.181,0.0,0.0,0.0,0.0,0.0,276.9,14130.0,4.441e-08
-2.1,4854.3,1.06,0.0,0.0,0.0,0.0,0.0,289.5,12680.0,4e-08
-2.2,4834.5,0.9518,0.0,0.0,0.0,0.0,0.0,302.0,11380.0,3.603e-08
-2.3,4818.2,0.8694,0.0,0.0,0.0,0.0,0.0,312.3,10400.0,3.3e-08
-2.4,4802.6,0.797,0.0,0.0,0.0,0.0,0.0,322.2,9534.0,3.033e-08
-2.5,4787.0,0.7306,0.0,0.0,0.0,0.0,0.0,332.0,8741.0,2.788e-08
-2.6,4771.5,0.6698,0.0,0.0,0.0,0.0,0.0,341.9,8015.0,2.562e-08
