# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.5,9002.3,3299.0,271500.0,0.0,0.0,0.0,0.0,-97.7,195300.0,3.342e-07
1.4,8817.4,2642.0,269000.0,0.0,0.0,0.0,0.0,-91.02,189400.0,3.318e-07
1.3,8637.7,2112.0,265700.0,0.0,0.0,0.0,0.0,-84.48,183500.0,3.291e-07
1.2,8462.5,1686.0,261700.0,0.0,0.0,0.0,0.0,-78.05,177900.0,3.262e-07
1.1,8283.2,1321.0,258600.0,0.0,0.0,0.0,0.0,-71.84,172300.0,3.233e-07
1.0,8103.2,1030.0,255300.0,0.0,0.0,0.0,0.0,-65.68,166800.0,3.204e-07
0.9,7924.9,792.7,249100.0,0.0,0.0,0.0,0.0,-59.64,161400.0,3.174e-07
0.8,7746.3,606.2,243100.0,0.0,0.0,0.0,0.0,-53.63,156000.0,3.142e-07
0.7,7566.1,455.0,238700.0,0.0,0.0,0.0,0.0,-47.65,150400.0,3.106e-07
0.6,7386.9,339.0,233900.0,0.0,0.0,0.0,0.0,-41.62,144700.0,3.063e-07
0.5,7209.4,249.4,228500.0,0.0,0.0,0.0,0.0,-35.52,138800.0,3.011e-07
0.4,7024.1,178.4,222100.0,0.0,0.0,0.0,0.0,-29.18,132300.0,2.948e-07
0.3,6832.8,125.0,215000.0,0.0,0.0,0.0,0.0,-22.67,125700.0,2.878e-07
0.2,6659.7,88.4,208800.0,0.0,0.0,0.0,0.0,-15.52,118100.0,2.775e-07
0.1,6497.2,63.21,202300.0,0.0,0.0,0.0,0.0,-8.022,110300.0,2.658e-07
0.0,6350.0,45.97,195200.0,0.0,0.0,0.0,0.0,4.768e-07,102300.0,2.521e-07
-0.1,6208.6,33.47,188200.0,0.0,0.0,0.0,0.0,8.647,93880.0,2.368e-07
-0.2,6059.9,23.82,185000.0,0.0,0.0,0.0,0.0,18.03,85090.0,2.199e-07
-0.3,5903.8,16.62,182700.0,0.0,0.0,0.0,0.0,28.54,75880.0,2.014e-07
-0.4,5775.2,12.18,181600.0,0.0,0.0,0.0,0.0,40.35,66760.0,1.811e-07
-0.5,5657.4,9.109,181100.0,0.0,0.0,0.0,0.0,52.66,58440.0,1.618e-07
-0.6,5560.2,7.124,180500.0,0.0,0.0,0.0,0.0,66.69,51150.0,1.441e-07
-0.7,5470.7,5.664,180000.0,0.0,0.0,0.0,0.0,81.18,44830.0,1.284e-07
