# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,9446.1,5265.0,0.0,0.0,0.0,0.0,0.0,-97.74,197200.0,3.188e-07
1.3,9257.1,4272.0,0.0,0.0,0.0,0.0,0.0,-90.78,191200.0,3.17e-07
1.2,9078.5,3490.0,0.0,0.0,0.0,0.0,0.0,-83.97,185400.0,3.148e-07
1.1,8916.6,2883.0,0.0,0.0,0.0,0.0,0.0,-77.39,179900.0,3.12e-07
1.0,8727.8,2290.0,0.0,0.0,0.0,0.0,0.0,-71.0,174600.0,3.103e-07
0.9,8523.4,1775.0,0.0,0.0,0.0,0.0,0.0,-64.71,169400.0,3.092e-07
0.8,8305.8,1331.0,0.0,0.0,0.0,0.0,0.0,-58.37,164100.0,3.084e-07
0.7,8095.0,994.6,0.0,0.0,0.0,0.0,0.0,-51.95,158900.0,3.072e-07
0.6,7888.7,740.6,0.0,0.0,0.0,0.0,0.0,-45.46,153800.0,3.059e-07
0.5,7683.7,541.0,0.0,0.0,0.0,0.0,0.0,-38.82,148500.0,3.04e-07
0.4,7471.0,385.6,0.0,0.0,0.0,0.0,0.0,-31.98,143200.0,3.021e-07
0.3,7251.3,268.1,0.0,0.0,0.0,0.0,0.0,-24.91,137700.0,3.003e-07
0.2,7027.6,180.8,0.0,0.0,0.0,0.0,0.0,-17.3,131900.0,2.975e-07
0.1,6807.3,120.2,0.0,0.0,0.0,0.0,0.0,-9.009,125600.0,2.932e-07
0.0,6606.2,81.26,0.0,0.0,0.0,0.0,0.0,-4.47e-08,118900.0,2.864e-07
-0.1,6423.3,55.98,0.0,0.0,0.0,0.0,0.0,9.796,111800.0,2.774e-07
-0.2,6240.5,38.15,0.0,0.0,0.0,0.0,0.0,20.44,104500.0,2.666e-07
-0.3,6074.9,26.67,0.0,0.0,0.0,0.0,0.0,32.16,96670.0,2.529e-07
-0.4,5919.4,18.99,0.0,0.0,0.0,0.0,0.0,44.7,88770.0,2.375e-07
-0.5,5768.2,13.68,0.0,0.0,0.0,0.0,0.0,58.23,80780.0,2.208e-07
-0.6,5640.9,10.38,0.0,0.0,0.0,0.0,0.0,72.72,72820.0,2.028e-07
-0.7,5527.2,8.108,0.0,0.0,0.0,0.0,0.0,87.67,65290.0,1.85e-07
-0.8,5426.2,6.503,0.0,0.0,0.0,0.0,0.0,103.0,58250.0,1.678e-07
-0.9,5354.4,5.443,0.0,0.0,0.0,0.0,0.0,118.7,51710.0,1.508e-07
-1.0,5288.8,4.602,0.0,0.0,0.0,0.0,0.0,134.3,45840.0,1.353e-07
-1.1,5225.0,3.911,0.0,0.0,0.0,0.0,0.0,149.8,40600.0,1.212e-07
-1.2,5172.3,3.362,0.0,0.0,0.0,0.0,0.0,165.3,35920.0,1.082e-07
-1.3,5129.2,2.919,0.0,0.0,0.0,0.0,0.0,180.7,31750.0,9.645e-08
-1.4,5096.8,2.561,0.0,0.0,0.0,0.0,0.0,195.8,28080.0,8.584e-08
-1.5,5064.9,2.251,0.0,0.0,0.0,0.0,0.0,210.7,24870.0,7.648e-08
-1.6,5034.8,1.989,0.0,0.0,0.0,0.0,0.0,224.9,22110.0,6.842e-08
-1.7,5004.7,1.757,0.0,0.0,0.0,0.0,0.0,239.0,19670.0,6.12e-08
-1.8,4974.6,1.552,0.0,0.0,0.0,0.0,0.0,253.1,17490.0,5.475e-08
-1.9,4953.8,1.391,0.0,0.0,0.0,0.0,0.0,266.1,15670.0,4.926e-08
-2.0,4934.8,1.249,0.0,0.0,0.0,0.0,0.0,278.9,14060.0,4.437e-08
-2.1,4915.7,1.122,0.0,0.0,0.0,0.0,0.0,291.6,12620.0,3.996e-08
-2.2,4896.7,1.008,0.0,0.0,0.0,0.0,0.0,304.3,11330.0,3.601e-08
-2.3,4883.4,0.9249,0.0,0.0,0.0,0.0,0.0,314.5,10380.0,3.308e-08
-2.4,4870.1,0.849,0.0,0.0,0.0,0.0,0.0,324.6,9506.0,3.039e-08
-2.5,4856.9,0.7793,0.0,0.0,0.0,0.0,0.0,334.7,8708.0,2.791e-08
-2.6,4843.6,0.7153,0.0,0.0,0.0,0.0,0.0,344.9,7977.0,2.564e-08
-2.7,4831.8,0.6627,0.0,0.0,0.0,0.0,0.0,353.9,7378.0,2.377e-08
-2.8,4830.2,0.6534,0.0,0.0,0.0,0.0,0.0,355.6,7269.0,2.343e-08
-2.9,4828.5,0.6443,0.0,0.0,0.0,0.0,0.0,357.3,7163.0,2.309e-08
-3.0,4826.9,0.6353,0.0,0.0,0.0,0.0,0.0,359.0,7059.0,2.276e-08
-3.1,4825.3,0.6265,0.0,0.0,0.0,0.0,0.0,360.6,6956.0,2.244e-08
-3.2,4823.6,0.6178,0.0,0.0,0.0,0.0,0.0,362.3,6854.0,2.212e-08
-3.3,4822.0,0.6092,0.0,0.0,0.0,0.0,0.0,364.0,6754.0,2.18e-08
-3.4,4820.4,0.6007,0.0,0.0,0.0,0.0,0.0,365.7,6656.0,2.149e-08
-3.5,4818.7,0.5923,0.0,0.0,0.0,0.0,0.0,367.3,6558.0,2.118e-08
-3.6,4817.1,0.5841,0.0,0.0,0.0,0.0,0.0,369.0,6463.0,2.088e-08
-3.7,4815.5,0.5759,0.0,0.0,0.0,0.0,0.0,370.7,6368.0,2.058e-08
-3.8,4813.8,0.5679,0.0,0.0,0.0,0.0,0.0,372.4,6275.0,2.029e-08
