# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.3,8510.2,1819.0,183000.0,0.0,0.0,0.0,0.0,-89.32,184300.0,3.36e-07
1.2,8311.1,1398.0,183000.0,0.0,0.0,0.0,0.0,-82.79,178300.0,3.336e-07
1.1,8129.9,1085.0,183000.0,0.0,0.0,0.0,0.0,-76.31,172400.0,3.301e-07
1.0,7943.7,827.5,183000.0,0.0,0.0,0.0,0.0,-69.86,166400.0,3.265e-07
0.9,7758.0,625.8,182900.0,0.0,0.0,0.0,0.0,-63.41,160400.0,3.226e-07
0.8,7584.5,475.6,182500.0,0.0,0.0,0.0,0.0,-56.95,154400.0,3.181e-07
0.7,7414.3,358.3,179400.0,0.0,0.0,0.0,0.0,-50.48,148300.0,3.127e-07
0.6,7248.9,269.7,175500.0,0.0,0.0,0.0,0.0,-44.0,142100.0,3.066e-07
0.5,7093.2,203.6,171400.0,0.0,0.0,0.0,0.0,-37.47,135700.0,2.993e-07
0.4,6921.0,147.7,167000.0,0.0,0.0,0.0,0.0,-30.77,129000.0,2.916e-07
0.3,6741.7,104.4,162600.0,0.0,0.0,0.0,0.0,-23.79,121800.0,2.829e-07
0.2,6569.3,73.72,158600.0,0.0,0.0,0.0,0.0,-16.4,114200.0,2.721e-07
0.1,6427.6,54.43,154200.0,0.0,0.0,0.0,0.0,-8.436,106400.0,2.591e-07
0.0,6280.2,39.38,150000.0,0.0,0.0,0.0,0.0,-1.073e-06,98300.0,2.451e-07
-0.1,6125.1,27.77,146300.0,0.0,0.0,0.0,0.0,9.11,89550.0,2.29e-07
-0.2,5951.1,18.73,142300.0,0.0,0.0,0.0,0.0,19.35,80090.0,2.108e-07
-0.3,5806.5,13.35,137800.0,0.0,0.0,0.0,0.0,31.13,70840.0,1.912e-07
-0.4,5686.8,9.972,133600.0,0.0,0.0,0.0,0.0,44.15,62110.0,1.711e-07
-0.5,5585.1,7.714,129100.0,0.0,0.0,0.0,0.0,57.99,54400.0,1.526e-07
-0.6,5510.7,6.327,122200.0,0.0,0.0,0.0,0.0,72.86,48210.0,1.37e-07
-0.7,5458.3,5.355,116400.0,0.0,0.0,0.0,0.0,88.02,42540.0,1.221e-07
-0.8,5409.4,4.556,110700.0,0.0,0.0,0.0,0.0,103.3,37500.0,1.086e-07
-0.9,5359.6,3.872,105000.0,0.0,0.0,0.0,0.0,118.9,33000.0,9.644e-08
-1.0,5313.0,3.304,99180.0,0.0,0.0,0.0,0.0,134.7,29010.0,8.552e-08
-1.1,5268.9,2.829,93360.0,0.0,0.0,0.0,0.0,150.6,25480.0,7.575e-08
-1.2,5236.5,2.459,87130.0,0.0,0.0,0.0,0.0,166.8,22390.0,6.699e-08
-1.3,5202.4,2.132,81040.0,0.0,0.0,0.0,0.0,183.1,19670.0,5.922e-08
-1.4,5166.7,1.845,75080.0,0.0,0.0,0.0,0.0,199.5,17260.0,5.234e-08
-1.5,5139.8,1.616,70610.0,0.0,0.0,0.0,0.0,215.5,15210.0,4.634e-08
-1.6,5113.2,1.416,66200.0,0.0,0.0,0.0,0.0,231.5,13390.0,4.103e-08
-1.7,5086.6,1.241,61790.0,0.0,0.0,0.0,0.0,247.5,11800.0,3.633e-08
-1.8,5062.3,1.089,59210.0,0.0,0.0,0.0,0.0,263.6,10380.0,3.211e-08
-1.9,5038.3,0.9548,56970.0,0.0,0.0,0.0,0.0,279.8,9123.0,2.836e-08
-2.0,5014.4,0.8376,54730.0,0.0,0.0,0.0,0.0,295.9,8021.0,2.506e-08
-2.1,4991.2,0.7334,53640.0,0.0,0.0,0.0,0.0,312.2,7035.0,2.208e-08
-2.2,4968.3,0.6417,52940.0,0.0,0.0,0.0,0.0,328.6,6164.0,1.943e-08
-2.3,4945.3,0.5616,52240.0,0.0,0.0,0.0,0.0,345.0,5401.0,1.711e-08
-2.4,4924.1,0.4902,52770.0,0.0,0.0,0.0,0.0,361.8,4711.0,1.499e-08
-2.5,4903.6,0.4274,53860.0,0.0,0.0,0.0,0.0,378.9,4102.0,1.31e-08
-2.6,4883.1,0.3727,54940.0,0.0,0.0,0.0,0.0,396.0,3571.0,1.145e-08
