# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.1,8692.4,2308.0,0.0,0.0,0.0,0.0,0.0,-87.04,190100.0,3.394e-07
1.0,8510.4,1817.0,0.0,0.0,0.0,0.0,0.0,-79.61,183400.0,3.356e-07
0.9,8327.9,1424.0,0.0,0.0,0.0,0.0,0.0,-72.21,176800.0,3.317e-07
0.8,8144.0,1103.0,0.0,0.0,0.0,0.0,0.0,-64.89,170400.0,3.272e-07
0.7,7950.4,831.7,0.0,0.0,0.0,0.0,0.0,-57.55,164000.0,3.233e-07
0.6,7764.5,627.9,0.0,0.0,0.0,0.0,0.0,-50.16,157700.0,3.192e-07
0.5,7581.7,470.9,0.0,0.0,0.0,0.0,0.0,-42.71,151600.0,3.149e-07
0.4,7382.4,339.5,0.0,0.0,0.0,0.0,0.0,-35.14,145500.0,3.105e-07
0.3,7173.5,237.0,0.0,0.0,0.0,0.0,0.0,-27.17,139300.0,3.067e-07
0.2,6963.8,162.5,0.0,0.0,0.0,0.0,0.0,-18.72,132800.0,3.019e-07
0.1,6768.3,112.3,0.0,0.0,0.0,0.0,0.0,-9.693,126000.0,2.953e-07
0.0,6586.9,78.32,0.0,0.0,0.0,0.0,0.0,-2.98e-08,118800.0,2.864e-07
-0.1,6409.3,54.25,0.0,0.0,0.0,0.0,0.0,10.45,111200.0,2.754e-07
-0.2,6245.6,38.17,0.0,0.0,0.0,0.0,0.0,21.79,103400.0,2.621e-07
-0.3,6100.8,27.67,0.0,0.0,0.0,0.0,0.0,34.0,95450.0,2.471e-07
-0.4,5961.0,20.18,0.0,0.0,0.0,0.0,0.0,47.11,87350.0,2.307e-07
-0.5,5834.3,15.07,0.0,0.0,0.0,0.0,0.0,61.07,79330.0,2.129e-07
-0.6,5740.9,11.96,0.0,0.0,0.0,0.0,0.0,75.7,71530.0,1.946e-07
-0.7,5661.4,9.751,0.0,0.0,0.0,0.0,0.0,90.53,64360.0,1.773e-07
-0.8,5590.9,8.08,0.0,0.0,0.0,0.0,0.0,105.7,57620.0,1.606e-07
-0.9,5524.0,6.736,0.0,0.0,0.0,0.0,0.0,120.9,51520.0,1.451e-07
-1.0,5463.9,5.679,0.0,0.0,0.0,0.0,0.0,136.2,45940.0,1.306e-07
-1.1,5400.5,4.774,0.0,0.0,0.0,0.0,0.0,151.6,40880.0,1.174e-07
-1.2,5337.7,4.018,0.0,0.0,0.0,0.0,0.0,167.1,36320.0,1.053e-07
-1.3,5296.9,3.482,0.0,0.0,0.0,0.0,0.0,182.5,32210.0,9.407e-08
-1.4,5261.4,3.037,0.0,0.0,0.0,0.0,0.0,197.9,28550.0,8.39e-08
-1.5,5232.0,2.667,0.0,0.0,0.0,0.0,0.0,213.2,25300.0,7.472e-08
-1.6,5207.4,2.363,0.0,0.0,0.0,0.0,0.0,227.6,22540.0,6.683e-08
-1.7,5183.7,2.098,0.0,0.0,0.0,0.0,0.0,241.9,20100.0,5.983e-08
-1.8,5160.0,1.863,0.0,0.0,0.0,0.0,0.0,256.1,17920.0,5.355e-08
-1.9,5137.9,1.661,0.0,0.0,0.0,0.0,0.0,269.9,16030.0,4.807e-08
-2.0,5118.9,1.493,0.0,0.0,0.0,0.0,0.0,282.8,14420.0,4.339e-08
-2.1,5099.9,1.341,0.0,0.0,0.0,0.0,0.0,295.6,12980.0,3.917e-08
-2.2,5080.9,1.205,0.0,0.0,0.0,0.0,0.0,308.5,11680.0,3.536e-08
-2.3,5064.0,1.094,0.0,0.0,0.0,0.0,0.0,320.1,10610.0,3.22e-08
-2.4,5050.0,1.005,0.0,0.0,0.0,0.0,0.0,330.1,9759.0,2.968e-08
-2.5,5035.9,0.9238,0.0,0.0,0.0,0.0,0.0,340.1,8975.0,2.735e-08
-2.6,5021.9,0.849,0.0,0.0,0.0,0.0,0.0,350.2,8253.0,2.52e-08
-2.7,5007.8,0.7803,0.0,0.0,0.0,0.0,0.0,360.2,7590.0,2.323e-08
-2.8,4999.1,0.74,0.0,0.0,0.0,0.0,0.0,366.5,7199.0,2.206e-08
-2.9,4997.2,0.73,0.0,0.0,0.0,0.0,0.0,368.1,7100.0,2.176e-08
-3.0,4995.2,0.7201,0.0,0.0,0.0,0.0,0.0,369.8,7003.0,2.147e-08
-3.1,4993.3,0.7104,0.0,0.0,0.0,0.0,0.0,371.4,6907.0,2.118e-08
-3.2,4991.3,0.7008,0.0,0.0,0.0,0.0,0.0,373.0,6812.0,2.09e-08
-3.3,4989.4,0.6913,0.0,0.0,0.0,0.0,0.0,374.7,6719.0,2.062e-08
-3.4,4987.4,0.6819,0.0,0.0,0.0,0.0,0.0,376.3,6627.0,2.034e-08
-3.5,4985.5,0.6727,0.0,0.0,0.0,0.0,0.0,377.9,6536.0,2.007e-08
-3.6,4983.5,0.6636,0.0,0.0,0.0,0.0,0.0,379.6,6446.0,1.98e-08
-3.7,4981.5,0.6547,0.0,0.0,0.0,0.0,0.0,381.2,6358.0,1.953e-08
-3.8,4979.6,0.6458,0.0,0.0,0.0,0.0,0.0,382.8,6270.0,1.927e-08
-3.9,4977.6,0.6371,0.0,0.0,0.0,0.0,0.0,384.4,6184.0,1.901e-08
-4.0,4975.7,0.6285,0.0,0.0,0.0,0.0,0.0,386.1,6100.0,1.875e-08
-4.1,4973.7,0.62,0.0,0.0,0.0,0.0,0.0,387.7,6016.0,1.85e-08
-4.2,4971.8,0.6116,0.0,0.0,0.0,0.0,0.0,389.3,5934.0,1.825e-08
-4.3,4969.8,0.6033,0.0,0.0,0.0,0.0,0.0,391.0,5852.0,1.801e-08
-4.4,4967.9,0.5952,0.0,0.0,0.0,0.0,0.0,392.6,5772.0,1.777e-08
-4.5,4965.9,0.5871,0.0,0.0,0.0,0.0,0.0,394.2,5693.0,1.753e-08
-4.6,4963.9,0.5792,0.0,0.0,0.0,0.0,0.0,395.8,5615.0,1.729e-08
-4.7,4962.0,0.5714,0.0,0.0,0.0,0.0,0.0,397.5,5538.0,1.706e-08
-4.8,4960.0,0.5636,0.0,0.0,0.0,0.0,0.0,399.1,5462.0,1.683e-08
-4.9,4958.1,0.556,0.0,0.0,0.0,0.0,0.0,400.7,5387.0,1.66e-08
-5.0,4956.1,0.5485,0.0,0.0,0.0,0.0,0.0,402.4,5313.0,1.638e-08
-5.1,4954.2,0.5411,0.0,0.0,0.0,0.0,0.0,404.0,5240.0,1.616e-08
-5.2,4952.2,0.5338,0.0,0.0,0.0,0.0,0.0,405.6,5168.0,1.594e-08
-5.3,4950.3,0.5265,0.0,0.0,0.0,0.0,0.0,407.2,5097.0,1.573e-08
-5.4,4948.3,0.5194,0.0,0.0,0.0,0.0,0.0,408.9,5028.0,1.552e-08
-5.5,4946.4,0.5124,0.0,0.0,0.0,0.0,0.0,410.5,4959.0,1.531e-08
-5.6,4944.4,0.5055,0.0,0.0,0.0,0.0,0.0,412.1,4891.0,1.51e-08
-5.7,4942.4,0.4986,0.0,0.0,0.0,0.0,0.0,413.8,4824.0,1.49e-08
