# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,8763.8,2949.0,0.0,0.0,0.0,0.0,0.0,-123.2,263500.0,4.676e-07
1.3,8581.5,2338.0,0.0,0.0,0.0,0.0,0.0,-114.9,254200.0,4.616e-07
1.2,8406.1,1846.0,0.0,0.0,0.0,0.0,0.0,-107.0,245100.0,4.554e-07
1.1,8230.7,1458.0,0.0,0.0,0.0,0.0,0.0,-99.0,236300.0,4.493e-07
1.0,8050.2,1126.0,0.0,0.0,0.0,0.0,0.0,-91.17,227700.0,4.43e-07
0.9,7837.0,821.1,0.0,0.0,0.0,0.0,0.0,-83.25,219000.0,4.385e-07
0.8,7616.5,585.2,0.0,0.0,0.0,0.0,0.0,-75.12,210200.0,4.34e-07
0.7,7423.2,427.4,0.0,0.0,0.0,0.0,0.0,-66.68,201300.0,4.272e-07
0.6,7242.5,313.3,0.0,0.0,0.0,0.0,0.0,-58.0,192200.0,4.183e-07
0.5,7070.0,230.1,0.0,0.0,0.0,0.0,0.0,-49.09,183000.0,4.094e-07
0.4,6898.5,167.2,0.0,0.0,0.0,0.0,0.0,-39.92,173700.0,3.993e-07
0.3,6736.9,122.3,0.0,0.0,0.0,0.0,0.0,-30.46,164500.0,3.874e-07
0.2,6585.1,90.17,0.0,0.0,0.0,0.0,0.0,-20.69,155200.0,3.741e-07
0.1,6432.1,65.77,0.0,0.0,0.0,0.0,0.0,-10.58,146000.0,3.598e-07
0.0,6284.1,48.11,0.0,0.0,0.0,0.0,0.0,0.0,136600.0,3.446e-07
-0.1,6095.4,32.45,0.0,0.0,0.0,0.0,0.0,11.36,126900.0,3.29e-07
-0.2,5910.0,22.02,0.0,0.0,0.0,0.0,0.0,24.09,116500.0,3.093e-07
-0.3,5770.2,16.33,0.0,0.0,0.0,0.0,0.0,37.96,105800.0,2.866e-07
-0.4,5621.8,12.1,0.0,0.0,0.0,0.0,0.0,52.56,95350.0,2.64e-07
-0.5,5505.4,9.543,0.0,0.0,0.0,0.0,0.0,67.69,85340.0,2.408e-07
