# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,6628.7,243.9,119800.0,0.0,0.0,0.0,0.0,-151.8,818300.0,1.934e-06
1.3,6361.2,152.6,118400.0,0.0,0.0,0.0,0.0,-141.9,771000.0,1.899e-06
1.2,6099.2,98.15,116300.0,0.0,0.0,0.0,0.0,-131.0,718700.0,1.846e-06
1.1,5875.0,69.03,111800.0,0.0,0.0,0.0,0.0,-119.3,663300.0,1.769e-06
1.0,5620.1,48.96,107100.0,0.0,0.0,0.0,0.0,-107.4,605600.0,1.688e-06
0.9,5379.6,36.16,103900.0,0.0,0.0,0.0,0.0,-95.76,549100.0,1.599e-06
0.8,5129.7,26.21,98670.0,0.0,0.0,0.0,0.0,-84.63,498700.0,1.523e-06
0.7,4891.7,18.59,95020.0,0.0,0.0,0.0,0.0,-73.97,457500.0,1.465e-06
0.6,4659.1,12.68,90870.0,0.0,0.0,0.0,0.0,-63.63,426800.0,1.435e-06
0.5,4453.6,8.61,87760.0,0.0,0.0,0.0,0.0,-53.39,401000.0,1.411e-06
0.4,4282.2,6.008,86090.0,0.0,0.0,0.0,0.0,-43.07,374800.0,1.371e-06
0.3,4132.6,4.3,82820.0,0.0,0.0,0.0,0.0,-32.58,348700.0,1.322e-06
0.2,4011.5,3.216,79520.0,0.0,0.0,0.0,0.0,-21.86,320100.0,1.25e-06
0.1,3921.4,2.526,78360.0,0.0,0.0,0.0,0.0,-11.01,288800.0,1.154e-06
0.0,3857.1,2.062,75830.0,0.0,0.0,0.0,0.0,-1.49e-07,256700.0,1.043e-06
-0.1,3802.8,1.708,72760.0,0.0,0.0,0.0,0.0,11.07,227000.0,9.35e-07
-0.2,3761.8,1.44,70070.0,0.0,0.0,0.0,0.0,22.19,199200.0,8.293e-07
-0.3,3738.0,1.242,67880.0,0.0,0.0,0.0,0.0,33.36,173000.0,7.251e-07
-0.4,3714.3,1.072,65700.0,0.0,0.0,0.0,0.0,44.54,150300.0,6.34e-07
-0.5,3691.4,0.9255,63560.0,0.0,0.0,0.0,0.0,55.71,130600.0,5.541e-07
-0.6,3680.8,0.8147,62270.0,0.0,0.0,0.0,0.0,66.82,113000.0,4.808e-07
-0.7,3670.2,0.7172,60980.0,0.0,0.0,0.0,0.0,77.92,97750.0,4.172e-07
-0.8,3659.5,0.6313,59690.0,0.0,0.0,0.0,0.0,89.03,84570.0,3.62e-07
-0.9,3648.9,0.5558,58400.0,0.0,0.0,0.0,0.0,100.1,73170.0,3.142e-07
-1.0,3640.2,0.4914,57090.0,0.0,0.0,0.0,0.0,111.2,63330.0,2.726e-07
-1.1,3634.8,0.4382,55720.0,0.0,0.0,0.0,0.0,122.3,54850.0,2.364e-07
-1.2,3629.5,0.3908,54350.0,0.0,0.0,0.0,0.0,133.3,47510.0,2.051e-07
-1.3,3624.2,0.3485,52980.0,0.0,0.0,0.0,0.0,144.3,41150.0,1.779e-07
-1.4,3618.9,0.3108,51610.0,0.0,0.0,0.0,0.0,155.4,35640.0,1.543e-07
-1.5,3613.6,0.2771,50240.0,0.0,0.0,0.0,0.0,166.4,30870.0,1.338e-07
-1.6,3610.1,0.2485,48980.0,0.0,0.0,0.0,0.0,177.5,26720.0,1.16e-07
-1.7,3608.4,0.224,47830.0,0.0,0.0,0.0,0.0,188.6,23120.0,1.004e-07
-1.8,3606.7,0.2019,46680.0,0.0,0.0,0.0,0.0,199.7,20000.0,8.688e-08
-1.9,3605.1,0.182,45530.0,0.0,0.0,0.0,0.0,210.8,17310.0,7.521e-08
-2.0,3603.4,0.164,44370.0,0.0,0.0,0.0,0.0,221.9,14980.0,6.51e-08
-2.1,3601.7,0.1479,43220.0,0.0,0.0,0.0,0.0,233.0,12960.0,5.635e-08
-2.2,3600.0,0.1333,42070.0,0.0,0.0,0.0,0.0,244.1,11210.0,4.877e-08
-2.3,3598.1,0.1205,41140.0,0.0,0.0,0.0,0.0,255.4,9693.0,4.219e-08
-2.4,3596.3,0.1089,40220.0,0.0,0.0,0.0,0.0,266.6,8381.0,3.65e-08
-2.5,3594.5,0.0984,39290.0,0.0,0.0,0.0,0.0,277.8,7247.0,3.158e-08
-2.6,3592.7,0.08894,38360.0,0.0,0.0,0.0,0.0,289.1,6266.0,2.732e-08
-2.7,3590.9,0.08038,37430.0,0.0,0.0,0.0,0.0,300.3,5418.0,2.363e-08
-2.8,3589.0,0.07265,36500.0,0.0,0.0,0.0,0.0,311.6,4684.0,2.045e-08
-2.9,3587.2,0.06567,35570.0,0.0,0.0,0.0,0.0,322.8,4050.0,1.769e-08
-3.0,3587.9,0.05916,35840.0,0.0,0.0,0.0,0.0,335.4,3445.0,1.504e-08
-3.1,3588.9,0.05327,36250.0,0.0,0.0,0.0,0.0,348.1,2923.0,1.276e-08
-3.2,3589.8,0.04797,36670.0,0.0,0.0,0.0,0.0,360.8,2481.0,1.083e-08
-3.3,3590.8,0.0432,37080.0,0.0,0.0,0.0,0.0,373.5,2105.0,9.185e-09
-3.4,3591.8,0.0389,37490.0,0.0,0.0,0.0,0.0,386.3,1787.0,7.793e-09
-3.5,3592.8,0.03503,37910.0,0.0,0.0,0.0,0.0,399.0,1516.0,6.612e-09
-3.6,3596.6,0.03102,39470.0,0.0,0.0,0.0,0.0,415.5,1245.0,5.422e-09
-3.7,3601.2,0.02733,41360.0,0.0,0.0,0.0,0.0,433.2,1012.0,4.404e-09
-3.8,3605.8,0.02408,43250.0,0.0,0.0,0.0,0.0,450.9,823.1,3.576e-09
-3.9,3610.4,0.02122,45130.0,0.0,0.0,0.0,0.0,468.6,669.3,2.904e-09
-4.0,3625.5,0.01845,51290.0,0.0,0.0,0.0,0.0,493.5,520.9,2.251e-09
-4.1,3646.3,0.01593,59760.0,0.0,0.0,0.0,0.0,522.3,395.9,1.701e-09
-4.2,3673.2,0.01389,69140.0,0.0,0.0,0.0,0.0,554.3,302.2,1.289e-09
-4.3,3723.7,0.01258,82100.0,0.0,0.0,0.0,0.0,598.9,234.9,9.881e-10
-4.4,3789.6,0.01189,105100.0,0.0,0.0,0.0,0.0,649.2,190.9,7.89e-10
-4.5,3863.1,0.01218,122700.0,0.0,0.0,0.0,0.0,702.0,175.3,7.108e-10
-4.6,3939.4,0.01218,136500.0,0.0,0.0,0.0,0.0,750.9,160.3,6.373e-10
-4.7,4019.8,0.01182,145800.0,0.0,0.0,0.0,0.0,797.9,144.2,5.619e-10
-4.8,4090.3,0.0112,151500.0,0.0,0.0,0.0,0.0,843.7,129.4,4.956e-10
-4.9,4200.8,0.01106,160900.0,0.0,0.0,0.0,0.0,888.3,120.3,4.485e-10
-5.0,4304.0,0.01103,170200.0,0.0,0.0,0.0,0.0,930.0,112.9,4.109e-10
-5.1,4397.5,0.01106,178900.0,0.0,0.0,0.0,0.0,969.0,105.0,3.74e-10
-5.2,4532.8,0.01173,184100.0,0.0,0.0,0.0,0.0,1005.0,90.03,3.111e-10
-5.3,4779.1,0.01416,197400.0,0.0,0.0,0.0,0.0,1048.0,49.45,1.621e-10
-5.4,87304.2,0.7733,654600.0,0.0,0.0,0.0,0.0,1132.0,1.476,8.138e-14
