# SIR model converted to cusir preset
"# header: B0 = 1.00000e-07, gamma0 = 0.00000, stray = 0.00000 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.3,6957.0,411.4,0.0,0.0,0.0,0.0,0.0,-137.1,749900.0,1.78e-06
1.2,6683.6,256.3,0.0,0.0,0.0,0.0,0.0,-127.8,709600.0,1.784e-06
1.1,6394.6,155.0,0.0,0.0,0.0,0.0,0.0,-117.4,664500.0,1.782e-06
1.0,6111.2,96.38,0.0,0.0,0.0,0.0,0.0,-105.7,616200.0,1.75e-06
0.9,5871.1,66.17,0.0,0.0,0.0,0.0,0.0,-93.17,568700.0,1.683e-06
0.8,5597.5,46.19,0.0,0.0,0.0,0.0,0.0,-80.34,521400.0,1.617e-06
0.7,5341.0,34.17,0.0,0.0,0.0,0.0,0.0,-68.04,477200.0,1.571e-06
0.6,5091.1,25.5,0.0,0.0,0.0,0.0,0.0,-56.97,439700.0,1.569e-06
0.5,4870.3,18.92,0.0,0.0,0.0,0.0,0.0,-47.09,406700.0,1.573e-06
0.4,4666.6,13.62,0.0,0.0,0.0,0.0,0.0,-38.07,377800.0,1.566e-06
0.3,4485.9,9.586,0.0,0.0,0.0,0.0,0.0,-29.34,350500.0,1.508e-06
0.2,4331.3,6.736,0.0,0.0,0.0,0.0,0.0,-20.34,322700.0,1.401e-06
0.1,4185.4,4.709,0.0,0.0,0.0,0.0,0.0,-10.62,294900.0,1.284e-06
0.0,4048.2,3.325,0.0,0.0,0.0,0.0,0.0,2.384e-07,266800.0,1.175e-06
-0.1,3949.4,2.526,0.0,0.0,0.0,0.0,0.0,11.56,237500.0,1.064e-06
-0.2,3868.7,1.982,0.0,0.0,0.0,0.0,0.0,23.56,210300.0,9.561e-07
-0.3,3807.6,1.609,0.0,0.0,0.0,0.0,0.0,36.04,185100.0,8.517e-07
-0.4,3760.5,1.337,0.0,0.0,0.0,0.0,0.0,48.73,162200.0,7.535e-07
-0.5,3732.9,1.146,0.0,0.0,0.0,0.0,0.0,61.73,141300.0,6.6e-07
-0.6,3705.3,0.9823,0.0,0.0,0.0,0.0,0.0,74.72,123000.0,5.782e-07
-0.7,3685.5,0.8526,0.0,0.0,0.0,0.0,0.0,87.76,106900.0,5.046e-07
-0.8,3673.0,0.7488,0.0,0.0,0.0,0.0,0.0,100.8,92570.0,4.388e-07
-0.9,3660.6,0.6576,0.0,0.0,0.0,0.0,0.0,113.9,80190.0,3.816e-07
-1.0,3648.1,0.5775,0.0,0.0,0.0,0.0,0.0,127.0,69470.0,3.318e-07
-1.1,3638.8,0.5109,0.0,0.0,0.0,0.0,0.0,140.0,60160.0,2.885e-07
-1.2,3632.6,0.455,0.0,0.0,0.0,0.0,0.0,152.9,52080.0,2.508e-07
-1.3,3626.3,0.4053,0.0,0.0,0.0,0.0,0.0,165.9,45090.0,2.18e-07
-1.4,3620.1,0.361,0.0,0.0,0.0,0.0,0.0,178.8,39030.0,1.895e-07
-1.5,3613.9,0.3215,0.0,0.0,0.0,0.0,0.0,191.8,33790.0,1.647e-07
-1.6,3610.0,0.2886,0.0,0.0,0.0,0.0,0.0,204.6,29260.0,1.434e-07
-1.7,3608.0,0.2608,0.0,0.0,0.0,0.0,0.0,217.3,25350.0,1.249e-07
-1.8,3606.1,0.2357,0.0,0.0,0.0,0.0,0.0,230.0,21960.0,1.088e-07
-1.9,3604.1,0.213,0.0,0.0,0.0,0.0,0.0,242.7,19020.0,9.484e-08
-2.0,3602.2,0.1925,0.0,0.0,0.0,0.0,0.0,255.3,16480.0,8.264e-08
-2.1,3600.3,0.1739,0.0,0.0,0.0,0.0,0.0,268.0,14270.0,7.201e-08
-2.2,3598.4,0.1593,0.0,0.0,0.0,0.0,0.0,279.4,12530.0,6.368e-08
-2.3,3596.6,0.1461,0.0,0.0,0.0,0.0,0.0,290.6,11030.0,5.646e-08
-2.4,3594.8,0.1341,0.0,0.0,0.0,0.0,0.0,301.8,9711.0,5.005e-08
-2.5,3593.0,0.123,0.0,0.0,0.0,0.0,0.0,312.9,8548.0,4.437e-08
-2.6,3591.2,0.1129,0.0,0.0,0.0,0.0,0.0,324.1,7524.0,3.933e-08
-2.7,3589.4,0.1036,0.0,0.0,0.0,0.0,0.0,335.3,6622.0,3.487e-08
-2.8,3587.6,0.09503,0.0,0.0,0.0,0.0,0.0,346.4,5829.0,3.091e-08
-2.9,3587.2,0.0908,0.0,0.0,0.0,0.0,0.0,352.5,5437.0,2.892e-08
-3.0,3587.5,0.0885,0.0,0.0,0.0,0.0,0.0,356.1,5216.0,2.778e-08
-3.1,3587.7,0.08626,0.0,0.0,0.0,0.0,0.0,359.7,5004.0,2.669e-08
-3.2,3588.0,0.08408,0.0,0.0,0.0,0.0,0.0,363.3,4801.0,2.563e-08
-3.3,3588.3,0.08195,0.0,0.0,0.0,0.0,0.0,366.9,4606.0,2.462e-08
-3.4,3588.6,0.07988,0.0,0.0,0.0,0.0,0.0,370.5,4420.0,2.365e-08
-3.5,3588.9,0.07785,0.0,0.0,0.0,0.0,0.0,374.1,4240.0,2.272e-08
-3.6,3589.1,0.07588,0.0,0.0,0.0,0.0,0.0,377.7,4068.0,2.183e-08
-3.7,3589.4,0.07396,0.0,0.0,0.0,0.0,0.0,381.3,3903.0,2.097e-08
-3.8,3589.7,0.07209,0.0,0.0,0.0,0.0,0.0,384.9,3745.0,2.014e-08
-3.9,3590.0,0.07026,0.0,0.0,0.0,0.0,0.0,388.5,3593.0,1.935e-08
-4.0,3590.2,0.06849,0.0,0.0,0.0,0.0,0.0,392.1,3447.0,1.858e-08
