# SIR model converted to cusir preset
"# header: B0 = 0.859681, gamma0 = 0.756428, stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.0,9400.0,4799.07,23130.0,0.0,139650.0,0.0,0.0,-55.19,180810.0,3.0132e-07
0.9,9094.9,3479.99,23120.0,0.0,108080.0,0.0,0.0,-51.907,178080.0,3.0671e-07
0.8,8792.7,2473.94,23090.0,0.0,78607.0,0.0,0.0,-48.388,175090.0,3.1194e-07
0.7,8490.5,1716.21,23070.0,0.0,53127.0,0.0,0.0,-44.599,171820.0,3.1701e-07
0.6,8184.1,1153.01,23070.0,0.0,30364.0,0.0,0.0,-40.484,168220.0,3.2198e-07
0.5,7855.4,728.584,23080.0,0.0,11169.0,0.0,0.0,-35.905,164140.0,3.2732e-07
0.4,7528.5,444.63,23090.0,0.0,-5455.2,0.0,0.0,-30.681,159420.0,3.3171e-07
0.3,7213.2,265.616,23090.0,0.0,-18927.0,0.0,0.0,-24.635,153900.0,3.3422e-07
0.2,6925.1,159.931,23080.0,0.0,-29989.0,0.0,0.0,-17.604,147460.0,3.3357e-07
0.1,6660.7,97.2806,23010.0,0.0,-38300.0,0.0,0.0,-9.4379,140050.0,3.2937e-07
0.0,6424.6,60.8522,23000.0,0.0,-44375.0,0.0,0.0,0.0,131640.0,3.2098e-07
-0.1,6231.5,40.6851,23000.0,0.0,-48089.0,0.0,0.0,10.668,122460.0,3.0783e-07
-0.2,6065.5,28.4669,23010.0,0.0,-49738.0,0.0,0.0,22.406,112830.0,2.9139e-07
-0.3,5920.3,20.7014,23020.0,0.0,-49433.0,0.0,0.0,35.072,103050.0,2.7265e-07
-0.4,5788.2,15.4738,23010.0,0.0,-47325.0,0.0,0.0,48.532,93364.0,2.5267e-07
-0.5,5669.1,11.9017,23020.0,0.0,-43468.0,0.0,0.0,62.643,83995.0,2.321e-07
-0.6,5558.2,9.34821,23020.0,0.0,-38167.0,0.0,0.0,77.25,75116.0,2.117e-07
-0.7,5447.3,7.41571,23000.0,0.0,-31332.0,0.0,0.0,92.227,66829.0,1.9218e-07
-0.8,5341.9,5.98388,22950.0,0.0,-23402.0,0.0,0.0,107.44,59205.0,1.7362e-07
-0.9,5243.1,4.90487,22940.0,0.0,-14166.0,0.0,0.0,122.72,52296.0,1.5624e-07
-1.0,5151.1,4.07133,22940.0,0.0,-4166.8,0.0,0.0,137.94,46108.0,1.4022e-07
-1.1,5067.5,3.41651,22940.0,0.0,6894.7,0.0,0.0,153.02,40613.0,1.2554e-07
-1.2,4993.5,2.89452,22930.0,0.0,18398.0,0.0,0.0,167.92,35758.0,1.1217e-07
-1.3,4930.1,2.47443,22940.0,0.0,28448.0,0.0,0.0,182.62,31480.0,1.0002e-07
-1.4,4878.2,2.1348,22940.0,0.0,37732.0,0.0,0.0,197.15,27714.0,8.8995e-08
-1.5,4833.4,1.85204,22940.0,0.0,46276.0,0.0,0.0,211.53,24400.0,7.9079e-08
-1.6,4803.3,1.62567,22930.0,0.0,54300.0,0.0,0.0,225.79,21483.0,7.0062e-08
-1.7,4784.4,1.43961,22920.0,0.0,61333.0,0.0,0.0,239.99,18914.0,6.1928e-08
-1.8,4762.1,1.27104,22920.0,0.0,67621.0,0.0,0.0,254.14,16651.0,5.4773e-08
-1.9,4737.6,1.12002,22920.0,0.0,73319.0,0.0,0.0,268.22,14658.0,4.8465e-08
-2.0,4715.7,0.98875,22920.0,0.0,78096.0,0.0,0.0,282.25,12902.0,4.2858e-08
-2.1,4675.5,0.860217,22900.0,0.0,82127.0,0.0,0.0,296.18,11357.0,3.805e-08
-2.2,4658.8,0.762413,22900.0,0.0,85499.0,0.0,0.0,310.01,9997.4,3.3615e-08
-2.3,4635.4,0.672002,22900.0,0.0,88019.0,0.0,0.0,323.8,8800.2,2.9739e-08
-2.4,4616.7,0.594396,22890.0,0.0,89792.0,0.0,0.0,337.52,7746.1,2.6283e-08
-2.5,4602.2,0.527313,22890.0,0.0,90841.0,0.0,0.0,351.21,6817.5,2.3205e-08
-2.6,4590.5,0.468588,22880.0,0.0,91103.0,0.0,0.0,364.89,5998.8,2.0471e-08
-2.7,4581.6,0.417009,22880.0,0.0,90619.0,0.0,0.0,378.57,5276.6,1.8041e-08
-2.8,4574.0,0.371142,22870.0,0.0,89342.0,0.0,0.0,392.29,4638.8,1.5887e-08
-2.9,4567.7,0.330271,22870.0,0.0,87347.0,0.0,0.0,406.06,4075.1,1.3976e-08
-3.0,4561.3,0.293494,22850.0,0.0,84606.0,0.0,0.0,419.92,3576.5,1.2283e-08
-3.1,4554.1,0.260268,22840.0,0.0,81002.0,0.0,0.0,433.88,3135.0,1.0783e-08
-3.2,4545.9,0.230236,22840.0,0.0,76748.0,0.0,0.0,447.99,2743.7,9.4546e-09
-3.3,4535.1,0.202902,22830.0,0.0,71751.0,0.0,0.0,462.28,2396.7,8.2785e-09
-3.4,4521.6,0.178077,22830.0,0.0,65821.0,0.0,0.0,476.77,2088.7,7.2362e-09
-3.5,4504.5,0.155499,22810.0,0.0,59310.0,0.0,0.0,491.51,1815.1,6.3123e-09
-3.6,4482.8,0.134952,22800.0,0.0,52053.0,0.0,0.0,506.55,1571.9,5.4931e-09
-3.7,4456.1,0.116306,22790.0,0.0,43797.0,0.0,0.0,521.94,1355.6,4.7655e-09
-3.8,4423.9,0.0994273,22790.0,0.0,35305.0,0.0,0.0,537.78,1163.0,4.1181e-09
