# SIR model converted to cusir preset
"# header: B0 = 0.75, gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.9,10220.0,10825.1,60000.0,0.0,0.0,0.0,0.0,-86.11,206810.0,3.1698e-07
1.8,10075.0,9585.3,60000.0,0.0,0.0,0.0,0.0,-86.109,206810.0,3.2154e-07
1.7,9929.0,8444.84,60000.0,0.0,0.0,0.0,0.0,-86.108,206810.0,3.2627e-07
1.6,9779.0,7381.07,60000.0,0.0,0.0,0.0,0.0,-86.107,206800.0,3.3127e-07
1.5,9622.0,6378.88,60000.0,0.0,0.0,0.0,0.0,-86.106,206800.0,3.3668e-07
1.4,9451.0,5408.96,60000.0,0.0,0.0,0.0,0.0,-86.105,206800.0,3.4277e-07
1.3,9269.0,4473.82,60000.0,0.0,0.0,0.0,0.0,-83.07,203930.0,3.4465e-07
1.2,9096.0,3681.58,60000.0,0.0,0.0,0.0,0.0,-77.108,198330.0,3.4155e-07
1.1,8910.0,2965.74,60000.0,0.0,0.0,0.0,0.0,-71.324,192930.0,3.3919e-07
1.0,8721.0,2360.51,60000.0,0.0,0.0,0.0,0.0,-65.665,187680.0,3.3712e-07
0.9,8538.0,1874.95,60000.0,0.0,0.0,0.0,0.0,-60.124,182580.0,3.3498e-07
0.8,8349.0,1464.56,60000.0,0.0,0.0,0.0,0.0,-54.687,177600.0,3.3322e-07
0.7,8146.0,1111.37,60000.0,0.0,0.0,0.0,0.0,-49.286,172670.0,3.3205e-07
0.6,7922.0,808.515,60000.0,0.0,0.0,0.0,0.0,-43.805,167690.0,3.3158e-07
0.5,7670.0,554.828,60000.0,0.0,0.0,0.0,0.0,-38.062,162470.0,3.3181e-07
0.4,7393.0,357.578,60000.0,0.0,0.0,0.0,0.0,-31.804,156770.0,3.3217e-07
