# SIR model converted to cusir preset
"# header: B0 = 1., gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.25,8793.9,2679.73,100000.0,0.0,0.0,0.0,0.0,-84.326,204270.0,3.6388e-07
1.0,8541.0,1900.1,100000.0,0.0,0.0,0.0,0.0,-65.591,186100.0,3.4132e-07
0.75,8186.7,1168.84,100000.0,0.0,0.0,0.0,0.0,-49.866,171650.0,3.2844e-07
0.5,7731.2,599.498,100000.0,0.0,0.0,0.0,0.0,-35.295,158660.0,3.2148e-07
0.25,7174.5,241.873,100000.0,0.0,0.0,0.0,0.0,-19.835,145140.0,3.169e-07
0.0,6531.7,73.2091,100000.0,0.0,0.0,0.0,0.0,0.0,128210.0,3.0748e-07
-0.25,6063.4,27.498,100000.0,0.0,0.0,0.0,0.0,26.417,107180.0,2.7691e-07
-0.5,5661.9,11.8166,100000.0,0.0,0.0,0.0,0.0,59.163,84451.0,2.3365e-07
-0.75,5344.4,6.32738,100000.0,0.0,0.0,0.0,0.0,96.1,63300.0,1.8554e-07
-1.0,5113.9,3.96247,100000.0,0.0,0.0,0.0,0.0,133.8,46355.0,1.42e-07
-1.25,4965.9,2.69977,100000.0,0.0,0.0,0.0,0.0,170.66,33773.0,1.0654e-07
-1.5,4900.3,1.96561,100000.0,0.0,0.0,0.0,0.0,206.8,24593.0,7.8618e-08
-1.75,4856.5,1.45316,100000.0,0.0,0.0,0.0,0.0,242.62,17896.0,5.7725e-08
-2.0,4768.0,1.03705,100000.0,0.0,0.0,0.0,0.0,278.01,13015.0,4.276e-08
-2.25,4700.7,0.751785,100000.0,0.0,0.0,0.0,0.0,312.8,9467.5,3.155e-08
-2.5,4654.7,0.553123,100000.0,0.0,0.0,0.0,0.0,347.21,6885.1,2.3171e-08
-2.75,4611.4,0.406944,100000.0,0.0,0.0,0.0,0.0,381.39,5002.4,1.6993e-08
-3.0,4559.8,0.297059,100000.0,0.0,0.0,0.0,0.0,415.33,3630.7,1.2473e-08
-3.25,4513.3,0.21724,100000.0,0.0,0.0,0.0,0.0,449.01,2632.6,9.1374e-09
-3.5,4471.8,0.159068,100000.0,0.0,0.0,0.0,0.0,482.48,1906.6,6.6789e-09
-3.75,4425.3,0.11588,100000.0,0.0,0.0,0.0,0.0,515.72,1379.5,4.8832e-09
-4.0,4373.9,0.084149,100000.0,0.0,0.0,0.0,0.0,548.49,998.88,3.5774e-09
-4.25,4321.1,0.0612482,100000.0,0.0,0.0,0.0,0.0,580.42,726.36,2.6332e-09
-4.5,4267.0,0.044934,100000.0,0.0,0.0,0.0,0.0,610.9,533.67,1.9592e-09
-4.75,4212.2,0.033542,100000.0,0.0,0.0,0.0,0.0,638.99,400.0,1.4876e-09
