# SIR model converted to cusir preset
"# header: B0 = 0.7500000, gamma0 = 1.000000, stray = 0.0000000E+00 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,8004.6,1551.37,60000.0,3440.0,10000.0,10.0,0.0,-138.9,483460.0,9.462e-07
1.3,7809.3,1160.43,60000.0,3330.0,10000.0,10.0,0.0,-131.95,465560.0,9.3395e-07
1.2,7614.0,857.167,60000.0,3220.0,10000.0,10.0,0.0,-124.95,447760.0,9.2129e-07
1.1,7417.2,623.459,60000.0,3120.0,10000.0,10.0,0.0,-117.83,429920.0,9.0804e-07
1.0,7218.9,446.21,60000.0,3020.0,10000.0,10.0,0.0,-110.52,411850.0,8.9378e-07
0.9,7019.1,314.118,60000.0,2930.0,10000.0,10.0,0.0,-102.9,393360.0,8.7796e-07
0.8,6816.5,217.074,60000.0,2840.0,10000.0,10.0,0.0,-94.87,374230.0,8.6008e-07
0.7,6590.1,142.062,60000.0,2750.0,10000.0,10.0,0.0,-86.156,353920.0,8.4134e-07
0.6,6355.9,90.8279,60000.0,2680.0,10000.0,10.0,0.0,-76.429,331820.0,8.1786e-07
0.5,6111.2,57.1962,60000.0,2600.0,10000.0,10.0,0.0,-65.406,307570.0,7.8847e-07
0.4,5865.0,36.9184,60000.0,2540.0,10000.0,10.0,0.0,-52.999,281410.0,7.5169e-07
0.3,5623.4,25.284,60000.0,2470.0,10000.0,10.0,0.0,-39.581,254570.0,7.0919e-07
0.2,5404.1,18.6678,60000.0,2410.0,10000.0,10.0,0.0,-25.914,228850.0,6.6341e-07
0.1,5204.1,14.3257,60000.0,2350.0,10000.0,10.0,0.0,-12.643,205510.0,6.1865e-07
0.0,5028.3,11.1855,60000.0,2300.0,10000.0,10.0,0.0,0.0,184790.0,5.7573e-07
-0.1,4884.7,8.88822,60000.0,2250.0,10000.0,10.0,0.0,12.051,166450.0,5.3382e-07
-0.2,4758.4,7.09334,60000.0,2200.0,10000.0,10.0,0.0,23.617,150140.0,4.9429e-07
-0.3,4646.2,5.68116,60000.0,2160.0,10000.0,10.0,0.0,34.798,135550.0,4.5704e-07
-0.4,4547.3,4.57915,60000.0,2120.0,10000.0,10.0,0.0,45.667,122450.0,4.2185e-07
-0.5,4453.4,3.6792,60000.0,2080.0,10000.0,10.0,0.0,56.288,110630.0,3.8919e-07
-0.6,4369.6,2.97746,60000.0,2040.0,10000.0,10.0,0.0,66.711,99951.0,3.5835e-07
-0.7,4281.6,2.36979,60000.0,2020.0,10000.0,10.0,0.0,77.0,90239.0,3.3018e-07
-0.8,4201.6,1.89741,60000.0,1990.0,10000.0,10.0,0.0,87.224,81360.0,3.0336e-07
-0.9,4126.6,1.52273,60000.0,1960.0,10000.0,10.0,0.0,97.414,73239.0,2.7804e-07
-1.0,4064.2,1.24708,60000.0,1940.0,10000.0,10.0,0.0,107.56,65839.0,2.5379e-07
-1.1,4002.7,1.01894,60000.0,1910.0,10000.0,10.0,0.0,117.66,59121.0,2.3139e-07
-1.2,3945.5,0.838,60000.0,1890.0,10000.0,10.0,0.0,127.74,53018.0,2.1052e-07
-1.3,3892.9,0.693471,60000.0,1870.0,10000.0,10.0,0.0,137.78,47490.0,1.9111e-07
-1.4,3842.5,0.575306,60000.0,1860.0,10000.0,10.0,0.0,147.78,42497.0,1.7326e-07
-1.5,3791.2,0.475241,60000.0,1840.0,10000.0,10.0,0.0,157.74,37985.0,1.5696e-07
-1.6,3741.8,0.393458,60000.0,1820.0,10000.0,10.0,0.0,167.7,33905.0,1.4195e-07
-1.7,3696.6,0.328323,60000.0,1810.0,10000.0,10.0,0.0,177.64,30225.0,1.2809e-07
-1.8,3655.6,0.276263,60000.0,1800.0,10000.0,10.0,0.0,187.55,26920.0,1.1537e-07
-1.9,3614.4,0.23213,60000.0,1780.0,10000.0,10.0,0.0,197.4,23959.0,1.0385e-07
-2.0,3572.6,0.194611,60000.0,1770.0,10000.0,10.0,0.0,207.22,21304.0,9.342e-08
-2.1,3530.4,0.162878,60000.0,1760.0,10000.0,10.0,0.0,217.01,18923.0,8.3969e-08
-2.2,3488.0,0.13616,60000.0,1750.0,10000.0,10.0,0.0,226.79,16785.0,7.5391e-08
-2.3,3447.2,0.114145,60000.0,1740.0,10000.0,10.0,0.0,236.57,14869.0,6.7575e-08
-2.4,3406.3,0.0956108,60000.0,1720.0,10000.0,10.0,0.0,246.35,13153.0,6.0493e-08
-2.5,3364.9,0.0799513,60000.0,1710.0,10000.0,10.0,0.0,256.14,11616.0,5.408e-08
-2.6,3319.6,0.0662784,60000.0,1700.0,10000.0,10.0,0.0,265.97,10236.0,4.8308e-08
-2.7,3276.4,0.0551198,60000.0,1690.0,10000.0,10.0,0.0,275.87,8997.1,4.302e-08
-2.8,3233.5,0.0458024,60000.0,1670.0,10000.0,10.0,0.0,285.86,7885.0,3.8202e-08
-2.9,3192.7,0.0381353,60000.0,1660.0,10000.0,10.0,0.0,295.98,6887.3,3.3795e-08
-3.0,3152.0,0.0316705,60000.0,1640.0,10000.0,10.0,0.0,306.26,5992.0,2.9782e-08
-3.1,3111.4,0.0262073,60000.0,1620.0,10000.0,10.0,0.0,316.77,5187.3,2.6119e-08
-3.2,3070.8,0.0215744,60000.0,1600.0,10000.0,10.0,0.0,327.6,4462.2,2.2764e-08
-3.3,3030.3,0.0176373,60000.0,1580.0,10000.0,10.0,0.0,338.9,3806.2,1.9678e-08
-3.4,2989.8,0.0142763,60000.0,1560.0,10000.0,10.0,0.0,350.85,3209.8,1.6819e-08
-3.5,2947.4,0.0113535,60000.0,1530.0,10000.0,10.0,0.0,363.78,2663.1,1.4155e-08
