# SIR model converted to cusir preset
"# header: B0 = 1., gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.4,9560.0,6046.79,60000.0,0.0,0.0,0.0,0.0,-81.793,209060.0,3.4256e-07
1.3,9390.0,5054.3,60000.0,0.0,0.0,0.0,0.0,-76.217,203840.0,3.4006e-07
1.2,9220.0,4199.34,60000.0,0.0,0.0,0.0,0.0,-70.886,198880.0,3.3791e-07
1.1,9050.0,3467.07,60000.0,0.0,0.0,0.0,0.0,-65.787,194170.0,3.361e-07
1.0,8880.0,2843.62,60000.0,0.0,0.0,0.0,0.0,-60.906,189690.0,3.3462e-07
0.9,8710.0,2316.16,60000.0,0.0,0.0,0.0,0.0,-56.231,185410.0,3.3345e-07
0.8,8520.0,1827.92,60000.0,0.0,0.0,0.0,0.0,-51.71,181270.0,3.3329e-07
0.7,8290.0,1357.24,60000.0,0.0,0.0,0.0,0.0,-47.202,177150.0,3.3474e-07
0.6,8030.0,952.178,60000.0,0.0,0.0,0.0,0.0,-42.533,172840.0,3.3719e-07
0.5,7750.0,634.62,60000.0,0.0,0.0,0.0,0.0,-37.536,168210.0,3.3999e-07
0.4,7440.0,392.523,60000.0,0.0,0.0,0.0,0.0,-31.973,162990.0,3.4319e-07
0.3,7140.9,238.248,60000.0,0.0,0.0,0.0,0.0,-25.597,156980.0,3.4438e-07
0.2,6860.0,144.058,60000.0,0.0,0.0,0.0,0.0,-18.222,150040.0,3.4263e-07
0.1,6610.0,89.3928,60000.0,0.0,0.0,0.0,0.0,-9.7098,142120.0,3.3681e-07
0.0,6390.0,57.4393,60000.0,0.0,0.0,0.0,0.0,0.0,133300.0,3.2677e-07
-0.1,6200.0,38.5914,60000.0,0.0,0.0,0.0,0.0,10.887,123760.0,3.127e-07
-0.2,6035.0,27.0588,60000.0,0.0,0.0,0.0,0.0,22.855,113800.0,2.9539e-07
-0.3,5890.0,19.7078,60000.0,0.0,0.0,0.0,0.0,35.769,103700.0,2.758e-07
-0.4,5765.0,14.9363,60000.0,0.0,0.0,0.0,0.0,49.445,93764.0,2.5478e-07
-0.5,5650.0,11.585,60000.0,0.0,0.0,0.0,0.0,63.705,84227.0,2.3353e-07
-0.6,5540.0,9.12943,60000.0,0.0,0.0,0.0,0.0,78.423,75230.0,2.1272e-07
-0.7,5430.0,7.26618,60000.0,0.0,0.0,0.0,0.0,93.485,66860.0,1.9289e-07
-0.8,5330.0,5.90801,60000.0,0.0,0.0,0.0,0.0,108.75,59188.0,1.7396e-07
-0.9,5240.0,4.88788,60000.0,0.0,0.0,0.0,0.0,124.05,52260.0,1.5623e-07
-1.0,5160.0,4.09997,60000.0,0.0,0.0,0.0,0.0,139.3,46069.0,1.3986e-07
-1.1,5080.0,3.44883,60000.0,0.0,0.0,0.0,0.0,154.43,40573.0,1.2511e-07
-1.2,5010.0,2.92983,60000.0,0.0,0.0,0.0,0.0,169.4,35713.0,1.1167e-07
-1.3,4950.0,2.5103,60000.0,0.0,0.0,0.0,0.0,184.21,31427.0,9.9456e-08
-1.4,4895.0,2.15948,60000.0,0.0,0.0,0.0,0.0,198.86,27652.0,8.8491e-08
-1.5,4840.0,1.85733,60000.0,0.0,0.0,0.0,0.0,213.35,24328.0,7.874e-08
-1.6,4790.0,1.6033,60000.0,0.0,0.0,0.0,0.0,227.69,21404.0,6.9999e-08
-1.7,4750.0,1.39482,60000.0,0.0,0.0,0.0,0.0,241.9,18831.0,6.2103e-08
-1.8,4720.0,1.22314,60000.0,0.0,0.0,0.0,0.0,256.01,16566.0,5.498e-08
-1.9,4690.0,1.07228,60000.0,0.0,0.0,0.0,0.0,270.05,14571.0,4.867e-08
-2.0,4660.0,0.939734,60000.0,0.0,0.0,0.0,0.0,284.01,12815.0,4.3079e-08
-2.1,4630.0,0.823307,60000.0,0.0,0.0,0.0,0.0,297.9,11269.0,3.8127e-08
-2.2,4600.0,0.721053,60000.0,0.0,0.0,0.0,0.0,311.72,9907.6,3.374e-08
