# SIR model converted to cusir preset
"# header: B0 = 1.00382, gamma0 = 0.243572, stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.0,8408.3,1747.22,205800.0,0.0,1188900.0,0.0,0.0,0.0,0.0,0.0
0.9,8226.9,1366.17,205800.0,0.0,1078900.0,0.0,0.0,0.0,0.0,0.0
0.8,8041.3,1051.92,205800.0,0.0,975510.0,0.0,0.0,0.0,0.0,0.0
0.7,7846.6,790.786,205700.0,0.0,881220.0,0.0,0.0,0.0,0.0,0.0
0.6,7637.8,574.784,205600.0,0.0,795580.0,0.0,0.0,0.0,0.0,0.0
0.5,7392.3,388.136,205600.0,0.0,718080.0,0.0,0.0,0.0,0.0,0.0
0.4,7137.1,251.955,205600.0,0.0,648270.0,0.0,0.0,0.0,0.0,0.0
0.3,6880.7,158.978,205500.0,0.0,585640.0,0.0,0.0,0.0,0.0,0.0
0.2,6633.2,99.3205,205400.0,0.0,529720.0,0.0,0.0,0.0,0.0,0.0
0.1,6402.1,62.6435,205400.0,0.0,480020.0,0.0,0.0,0.0,0.0,0.0
0.0,6195.7,40.852,205300.0,0.0,436070.0,0.0,0.0,0.0,0.0,0.0
-0.1,6041.0,29.1921,205300.0,0.0,397360.0,0.0,0.0,0.0,0.0,0.0
-0.2,5913.9,21.9368,205200.0,0.0,363420.0,0.0,0.0,0.0,0.0,0.0
-0.3,5809.3,17.1706,205200.0,0.0,333780.0,0.0,0.0,0.0,0.0,0.0
-0.4,5717.9,13.7701,205200.0,0.0,307420.0,0.0,0.0,0.0,0.0,0.0
-0.5,5639.9,11.301,205100.0,0.0,284970.0,0.0,0.0,0.0,0.0,0.0
-0.6,5571.8,9.42722,205100.0,0.0,265350.0,0.0,0.0,0.0,0.0,0.0
-0.7,5507.7,7.91936,205000.0,0.0,248070.0,0.0,0.0,0.0,0.0,0.0
-0.8,5447.4,6.6959,205000.0,0.0,232640.0,0.0,0.0,0.0,0.0,0.0
-0.9,5388.6,5.67835,204900.0,0.0,218580.0,0.0,0.0,0.0,0.0,0.0
-1.0,5327.5,4.80966,204900.0,0.0,205410.0,0.0,0.0,0.0,0.0,0.0
-1.1,5263.0,4.06632,204900.0,0.0,192630.0,0.0,0.0,0.0,0.0,0.0
-1.2,5192.6,3.42498,204800.0,0.0,179790.0,0.0,0.0,0.0,0.0,0.0
-1.3,5115.4,2.87544,204800.0,0.0,166370.0,0.0,0.0,0.0,0.0,0.0
-1.4,5027.1,2.39967,204800.0,0.0,151900.0,0.0,0.0,0.0,0.0,0.0
-1.5,4937.7,2.00682,204700.0,0.0,138010.0,0.0,0.0,0.0,0.0,0.0
-1.6,4837.5,1.66609,204700.0,0.0,122080.0,0.0,0.0,0.0,0.0,0.0
-1.7,4727.3,1.36918,204700.0,0.0,103610.0,0.0,0.0,0.0,0.0,0.0
-1.8,4617.9,1.10794,204700.0,0.0,84825.0,0.0,0.0,0.0,0.0,0.0
-1.9,4545.6,0.92772,204700.0,0.0,66937.0,0.0,0.0,0.0,0.0,0.0
-2.0,4493.6,0.799197,204700.0,0.0,42199.0,0.0,0.0,0.0,0.0,0.0
-2.1,4442.5,0.68736,204700.0,0.0,20156.0,0.0,0.0,0.0,0.0,0.0
-2.2,4404.0,0.59471,204600.0,0.0,756.61,0.0,0.0,0.0,0.0,0.0
-2.3,4370.7,0.517085,204600.0,0.0,-16748.0,0.0,0.0,0.0,0.0,0.0
-2.4,4342.4,0.451873,204600.0,0.0,-31702.0,0.0,0.0,0.0,0.0,0.0
-2.5,4317.8,0.396422,204600.0,0.0,-44710.0,0.0,0.0,0.0,0.0,0.0
-2.6,4296.5,0.348966,204600.0,0.0,-55263.0,0.0,0.0,0.0,0.0,0.0
-2.7,4277.8,0.30799,204600.0,0.0,-63818.0,0.0,0.0,0.0,0.0,0.0
-2.8,4260.7,0.272204,204600.0,0.0,-70015.0,0.0,0.0,0.0,0.0,0.0
-2.9,4244.4,0.240689,204600.0,0.0,-74161.0,0.0,0.0,0.0,0.0,0.0
-3.0,4228.5,0.212757,204600.0,0.0,-76099.0,0.0,0.0,0.0,0.0,0.0
-3.1,4211.7,0.18774,204600.0,0.0,-75825.0,0.0,0.0,0.0,0.0,0.0
-3.2,4194.0,0.165319,204600.0,0.0,-73421.0,0.0,0.0,0.0,0.0,0.0
-3.3,4173.5,0.14495,204600.0,0.0,-68903.0,0.0,0.0,0.0,0.0,0.0
-3.4,4150.4,0.126528,204600.0,0.0,-62199.0,0.0,0.0,0.0,0.0,0.0
-3.5,4123.7,0.109781,204600.0,0.0,-53478.0,0.0,0.0,0.0,0.0,0.0
-3.6,4092.5,0.0945142,204600.0,0.0,-42520.0,0.0,0.0,0.0,0.0,0.0
-3.7,4056.3,0.0805988,204600.0,0.0,-29640.0,0.0,0.0,0.0,0.0,0.0
-3.8,4014.6,0.0679562,204600.0,0.0,-14716.0,0.0,0.0,0.0,0.0,0.0
