# SIR model converted to cusir preset
"# header: B0 = 1., gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.2,9117.1,3316.67,0.0,0.0,100000.0,0.0,0.0,-48.459,154870.0,1.5623e-07
1.1,8909.6,2649.64,0.0,0.0,100000.0,0.0,0.0,-48.442,154860.0,1.5986e-07
1.0,8702.1,2093.86,0.0,0.0,100000.0,0.0,0.0,-48.415,154850.0,1.6366e-07
0.9,8494.5,1635.65,0.0,0.0,100000.0,0.0,0.0,-48.37,154830.0,1.6763e-07
0.8,8287.0,1262.55,0.0,0.0,100000.0,0.0,0.0,-48.293,154790.0,1.7179e-07
0.7,8079.5,962.211,0.0,0.0,100000.0,0.0,0.0,-48.159,154730.0,1.7613e-07
0.6,7866.3,717.716,0.0,0.0,100000.0,0.0,0.0,-47.924,154610.0,1.8077e-07
0.5,7652.5,526.86,0.0,0.0,100000.0,0.0,0.0,-47.519,154410.0,1.8557e-07
0.4,7438.7,380.559,0.0,0.0,100000.0,0.0,0.0,-46.779,154020.0,1.9043e-07
0.3,7199.9,257.116,0.0,0.0,100000.0,0.0,0.0,-40.498,150710.0,1.9252e-07
0.2,6960.8,168.207,0.0,0.0,100000.0,0.0,0.0,-28.314,144310.0,1.9068e-07
0.1,6736.0,110.316,0.0,0.0,100000.0,0.0,0.0,-14.871,137350.0,1.8753e-07
0.0,6524.5,72.7229,0.0,0.0,100000.0,0.0,0.0,0.0,129800.0,1.8297e-07
-0.1,6323.3,48.1672,0.0,0.0,100000.0,0.0,0.0,16.504,121660.0,1.7696e-07
-0.2,6130.5,32.135,0.0,0.0,100000.0,0.0,0.0,34.873,112950.0,1.6945e-07
-0.3,5945.5,21.7402,0.0,0.0,100000.0,0.0,0.0,55.308,103720.0,1.6045e-07
-0.4,5778.3,15.3112,0.0,0.0,100000.0,0.0,0.0,77.768,94183.0,1.4991e-07
-0.5,5632.7,11.3343,0.0,0.0,100000.0,0.0,0.0,101.87,84676.0,1.3826e-07
-0.6,5506.0,8.75809,0.0,0.0,100000.0,0.0,0.0,127.07,75547.0,1.2619e-07
-0.7,5394.7,6.99175,0.0,0.0,100000.0,0.0,0.0,152.88,67041.0,1.1429e-07
-0.8,5309.1,5.79101,0.0,0.0,100000.0,0.0,0.0,178.92,59297.0,1.0272e-07
-0.9,5234.3,4.86886,0.0,0.0,100000.0,0.0,0.0,204.94,52352.0,9.1988e-08
-1.0,5166.1,4.12926,0.0,0.0,100000.0,0.0,0.0,230.83,46169.0,8.2195e-08
-1.1,5099.5,3.51315,0.0,0.0,100000.0,0.0,0.0,256.53,40687.0,7.3382e-08
-1.2,5045.6,3.02385,0.0,0.0,100000.0,0.0,0.0,282.01,35841.0,6.5331e-08
-1.3,5002.5,2.62638,0.0,0.0,100000.0,0.0,0.0,307.3,31564.0,5.8031e-08
-1.4,4965.5,2.29228,0.0,0.0,100000.0,0.0,0.0,332.42,27793.0,5.1478e-08
-1.5,4932.0,2.00596,0.0,0.0,100000.0,0.0,0.0,357.4,24467.0,4.5626e-08
-1.6,4899.0,1.7558,0.0,0.0,100000.0,0.0,0.0,382.25,21536.0,4.043e-08
-1.7,4866.4,1.53702,0.0,0.0,100000.0,0.0,0.0,406.97,18952.0,3.5818e-08
-1.8,4833.9,1.34533,0.0,0.0,100000.0,0.0,0.0,431.56,16675.0,3.1726e-08
-1.9,4801.3,1.17719,0.0,0.0,100000.0,0.0,0.0,456.02,14668.0,2.8098e-08
-2.0,4768.9,1.02998,0.0,0.0,100000.0,0.0,0.0,480.36,12901.0,2.488e-08
-2.1,4737.0,0.901284,0.0,0.0,100000.0,0.0,0.0,504.58,11344.0,2.2024e-08
-2.2,4705.4,0.788609,0.0,0.0,100000.0,0.0,0.0,528.68,9972.1,1.9492e-08
-2.3,4673.9,0.689847,0.0,0.0,100000.0,0.0,0.0,552.66,8764.3,1.7246e-08
-2.4,4644.4,0.604138,0.0,0.0,100000.0,0.0,0.0,576.54,7700.4,1.5249e-08
-2.5,4615.8,0.529205,0.0,0.0,100000.0,0.0,0.0,600.34,6763.2,1.3476e-08
-2.6,4587.8,0.463542,0.0,0.0,100000.0,0.0,0.0,624.08,5937.5,1.1903e-08
-2.7,4560.0,0.405852,0.0,0.0,100000.0,0.0,0.0,647.76,5210.0,1.0508e-08
-2.8,4532.3,0.35513,0.0,0.0,100000.0,0.0,0.0,671.41,4568.8,9.2711e-09
-2.9,4504.5,0.310483,0.0,0.0,100000.0,0.0,0.0,695.05,4003.6,8.1743e-09
-3.0,4476.8,0.271224,0.0,0.0,100000.0,0.0,0.0,718.69,3505.2,7.2012e-09
-3.1,4449.4,0.23673,0.0,0.0,100000.0,0.0,0.0,742.38,3065.7,6.337e-09
-3.2,4425.3,0.206882,0.0,0.0,100000.0,0.0,0.0,766.17,2677.7,5.5651e-09
-3.3,4405.5,0.181095,0.0,0.0,100000.0,0.0,0.0,790.15,2334.7,4.874e-09
-3.4,4401.2,0.160004,0.0,0.0,100000.0,0.0,0.0,814.52,2030.3,4.2427e-09
-3.5,4399.6,0.141083,0.0,0.0,100000.0,0.0,0.0,839.54,1759.0,3.6772e-09
-3.6,4400.6,0.123951,0.0,0.0,100000.0,0.0,0.0,865.45,1516.2,3.1689e-09
-3.7,4404.7,0.10831,0.0,0.0,100000.0,0.0,0.0,892.65,1297.6,2.7094e-09
