# SIR model converted to cusir preset
"# header: B0 = 1., gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.2,6700.0,261.201,100000.0,0.0,0.0,0.0,0.0,-113.2,750290.0,1.7543e-06
1.1,6420.0,158.874,100000.0,0.0,0.0,0.0,0.0,-104.57,709050.0,1.7302e-06
1.0,6140.0,98.2935,100000.0,0.0,0.0,0.0,0.0,-94.789,663210.0,1.6921e-06
0.9,5870.0,64.8215,100000.0,0.0,0.0,0.0,0.0,-84.149,614630.0,1.6403e-06
0.8,5620.0,46.4972,100000.0,0.0,0.0,0.0,0.0,-73.337,566890.0,1.5802e-06
0.7,5360.0,34.1897,100000.0,0.0,0.0,0.0,0.0,-63.024,522920.0,1.5284e-06
0.6,5120.0,25.3893,100000.0,0.0,0.0,0.0,0.0,-53.477,483540.0,1.4795e-06
0.5,4890.0,18.3083,100000.0,0.0,0.0,0.0,0.0,-44.572,447950.0,1.4351e-06
0.4,4680.0,12.8794,100000.0,0.0,0.0,0.0,0.0,-36.005,414780.0,1.3885e-06
0.3,4490.0,8.92783,100000.0,0.0,0.0,0.0,0.0,-27.47,382910.0,1.336e-06
0.2,4320.0,6.19501,100000.0,0.0,0.0,0.0,0.0,-18.722,351620.0,1.2751e-06
0.1,4170.0,4.37023,100000.0,0.0,0.0,0.0,0.0,-9.5955,320620.0,1.2045e-06
0.0,4040.0,3.1707,100000.0,0.0,0.0,0.0,0.0,0.0,290010.0,1.1246e-06
-0.1,3950.0,2.47675,100000.0,0.0,0.0,0.0,0.0,9.9758,260520.0,1.0333e-06
-0.2,3870.0,1.96626,100000.0,0.0,0.0,0.0,0.0,20.209,232830.0,9.4249e-07
-0.3,3810.0,1.6174,100000.0,0.0,0.0,0.0,0.0,30.625,207210.0,8.5202e-07
-0.4,3750.0,1.32826,100000.0,0.0,0.0,0.0,0.0,41.18,183790.0,7.6779e-07
-0.5,3700.0,1.10834,100000.0,0.0,0.0,0.0,0.0,51.877,162450.0,6.8782e-07
-0.6,3660.0,0.939461,100000.0,0.0,0.0,0.0,0.0,62.66,143230.0,6.1306e-07
-0.7,3620.0,0.79493,100000.0,0.0,0.0,0.0,0.0,73.513,126000.0,5.4527e-07
-0.8,3590.0,0.68305,100000.0,0.0,0.0,0.0,0.0,84.419,110630.0,4.8277e-07
