# SIR model converted to cusir preset
"# header: B0 = 0.75, gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.2,8461.0,2030.96,60000.0,0.0,200000.0,0.0,0.0,-101.75,257020.0,4.7585e-07
1.1,8265.2,1558.48,60000.0,0.0,200000.0,0.0,0.0,-94.513,247640.0,4.6934e-07
1.0,8069.6,1182.39,60000.0,0.0,200000.0,0.0,0.0,-87.246,238350.0,4.6269e-07
0.9,7874.5,886.668,60000.0,0.0,200000.0,0.0,0.0,-79.914,229120.0,4.558e-07
0.8,7679.9,656.781,60000.0,0.0,200000.0,0.0,0.0,-72.468,219890.0,4.4852e-07
0.7,7486.0,480.382,60000.0,0.0,200000.0,0.0,0.0,-64.85,210610.0,4.4071e-07
0.6,7295.1,348.032,60000.0,0.0,200000.0,0.0,0.0,-56.996,201210.0,4.3207e-07
0.5,7103.5,248.226,60000.0,0.0,198930.0,0.0,0.0,-48.82,191640.0,4.2261e-07
0.4,6917.2,176.024,60000.0,0.0,197140.0,0.0,0.0,-40.23,181820.0,4.1175e-07
0.3,6737.4,124.519,60000.0,0.0,194640.0,0.0,0.0,-31.149,171730.0,3.9928e-07
0.2,6560.0,87.3648,60000.0,0.0,191430.0,0.0,0.0,-21.472,161330.0,3.8524e-07
0.1,6394.5,62.0037,60000.0,0.0,187500.0,0.0,0.0,-11.119,150630.0,3.6901e-07
0.0,6229.8,43.7467,60000.0,0.0,182860.0,0.0,0.0,0.0,139670.0,3.5119e-07
-0.1,6077.2,31.4491,60000.0,0.0,177500.0,0.0,0.0,11.958,128490.0,3.3121e-07
-0.2,5937.0,23.1354,60000.0,0.0,171430.0,0.0,0.0,24.72,117300.0,3.0949e-07
-0.3,5799.0,17.1667,60000.0,0.0,164640.0,0.0,0.0,38.259,106240.0,2.8698e-07
-0.4,5676.6,13.1723,60000.0,0.0,157140.0,0.0,0.0,52.481,95515.0,2.6358e-07
-0.5,5556.6,10.2463,60000.0,0.0,148930.0,0.0,0.0,67.23,85330.0,2.4056e-07
-0.6,5448.5,8.18423,60000.0,0.0,140000.0,0.0,0.0,82.349,75831.0,2.1802e-07
-0.7,5351.7,6.6816,60000.0,0.0,130360.0,0.0,0.0,97.65,67138.0,1.9652e-07
-0.8,5256.0,5.49882,60000.0,0.0,120000.0,0.0,0.0,112.99,59288.0,1.767e-07
-0.9,5173.0,4.6018,60000.0,0.0,110000.0,0.0,0.0,128.28,52267.0,1.5828e-07
-1.0,5091.5,3.86704,60000.0,0.0,100000.0,0.0,0.0,143.44,46033.0,1.4163e-07
-1.1,5019.4,3.27981,60000.0,0.0,90000.0,0.0,0.0,158.44,40520.0,1.2646e-07
-1.2,4956.6,2.80391,60000.0,0.0,80000.0,0.0,0.0,173.27,35658.0,1.1269e-07
-1.3,4894.0,2.39722,60000.0,0.0,70000.0,0.0,0.0,187.93,31375.0,1.0043e-07
-1.4,4840.6,2.06402,60000.0,0.0,60000.0,0.0,0.0,202.42,27605.0,8.9333e-08
-1.5,4788.3,1.77781,60000.0,0.0,51071.0,0.0,0.0,216.76,24286.0,7.9453e-08
-1.6,4742.2,1.53834,60000.0,0.0,42857.0,0.0,0.0,230.95,21366.0,7.0579e-08
