# SIR model converted to cusir preset
"# header: B0 = 0.5, gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.0,8700.0,1989.2,300000.0,0.0,0.0,0.0,0.0,-108.2,140700.0,2.5333e-07
0.87,8360.0,1280.46,300000.0,0.0,0.0,0.0,0.0,-96.517,132660.0,2.4858e-07
0.74,8080.0,860.97,300000.0,0.0,0.0,0.0,0.0,-83.781,124130.0,2.4064e-07
0.61,7860.0,613.542,300000.0,0.0,0.0,0.0,0.0,-70.467,115540.0,2.3026e-07
0.48,7660.0,442.466,300000.0,0.0,0.0,0.0,0.0,-56.917,107190.0,2.192e-07
0.35,7470.0,319.082,300000.0,0.0,0.0,0.0,0.0,-43.191,99155.0,2.0793e-07
0.22,7280.0,226.661,300000.0,0.0,0.0,0.0,0.0,-29.204,91401.0,1.9667e-07
0.09,7100.0,161.146,300000.0,0.0,0.0,0.0,0.0,-14.853,83894.0,1.8509e-07
-0.04,6920.0,112.801,300000.0,0.0,0.0,0.0,0.0,0.0,76601.0,1.734e-07
-0.17,6790.0,85.1806,300000.0,0.0,0.0,0.0,0.0,15.124,69673.0,1.6074e-07
-0.3,6660.0,63.8201,300000.0,0.0,0.0,0.0,0.0,30.224,63267.0,1.488e-07
-0.43,6540.0,48.3572,300000.0,0.0,0.0,0.0,0.0,45.307,57350.0,1.3736e-07
-0.56,6420.0,36.3974,300000.0,0.0,0.0,0.0,0.0,60.373,51898.0,1.2663e-07
-0.69,6300.0,27.2123,300000.0,0.0,0.0,0.0,0.0,75.519,46852.0,1.1649e-07
-0.82,6181.9,20.2899,300000.0,0.0,0.0,0.0,0.0,90.83,42166.0,1.0685e-07
-0.95,6070.0,15.2345,300000.0,0.0,0.0,0.0,0.0,106.33,37822.0,9.7605e-08
-1.08,5952.3,11.2461,300000.0,0.0,0.0,0.0,0.0,122.14,33785.0,8.891e-08
-1.21,5852.0,8.56863,300000.0,0.0,0.0,0.0,0.0,138.23,30050.0,8.0438e-08
-1.34,5753.4,6.53995,300000.0,0.0,0.0,0.0,0.0,154.49,26641.0,7.2534e-08
-1.47,5663.7,5.07686,300000.0,0.0,0.0,0.0,0.0,170.87,23551.0,6.5138e-08
-1.6,5560.6,3.84372,300000.0,0.0,0.0,0.0,0.0,187.41,20751.0,5.8455e-08
-1.73,5416.5,2.71617,300000.0,0.0,0.0,0.0,0.0,204.58,18144.0,5.2473e-08
-1.86,5231.1,1.84636,300000.0,0.0,0.0,0.0,0.0,222.81,15665.0,4.6909e-08
-1.99,5053.5,1.33164,300000.0,0.0,0.0,0.0,0.0,241.74,13373.0,4.1452e-08
-2.12,4986.9,1.09319,300000.0,0.0,0.0,0.0,0.0,260.71,11366.0,3.5703e-08
-2.25,4946.2,0.91916,300000.0,0.0,0.0,0.0,0.0,279.52,9656.5,3.0582e-08
-2.38,4908.5,0.774841,300000.0,0.0,0.0,0.0,0.0,298.2,8202.9,2.6178e-08
-2.51,4888.1,0.662409,300000.0,0.0,0.0,0.0,0.0,316.77,6968.0,2.233e-08
-2.64,4869.2,0.566787,300000.0,0.0,0.0,0.0,0.0,335.27,5918.9,1.9041e-08
-2.77,4859.6,0.488509,300000.0,0.0,0.0,0.0,0.0,353.71,5027.6,1.6206e-08
-2.9,4848.5,0.420501,300000.0,0.0,0.0,0.0,0.0,372.11,4270.7,1.3798e-08
-3.03,4827.8,0.358974,300000.0,0.0,0.0,0.0,0.0,390.44,3628.3,1.1773e-08
-3.16,4810.0,0.307213,300000.0,0.0,0.0,0.0,0.0,408.66,3083.3,1.0041e-08
-3.29,4810.4,0.267273,300000.0,0.0,0.0,0.0,0.0,426.79,2621.5,8.5367e-09
-3.42,4809.6,0.232711,300000.0,0.0,0.0,0.0,0.0,444.81,2231.1,7.2666e-09
-3.55,4799.2,0.201098,300000.0,0.0,0.0,0.0,0.0,462.63,1901.8,6.2073e-09
-3.68,4775.9,0.171794,300000.0,0.0,0.0,0.0,0.0,480.18,1624.2,5.3273e-09
-3.81,4739.2,0.145113,300000.0,0.0,0.0,0.0,0.0,497.34,1390.6,4.5963e-09
-3.94,4728.9,0.126133,300000.0,0.0,0.0,0.0,0.0,514.03,1194.7,3.9574e-09
-4.07,4720.4,0.110329,300000.0,0.0,0.0,0.0,0.0,530.14,1031.4,3.4228e-09
-4.2,4719.1,0.0978363,300000.0,0.0,0.0,0.0,0.0,545.52,896.33,2.9752e-09
-4.33,4707.8,0.0864319,300000.0,0.0,0.0,0.0,0.0,559.98,785.29,2.6129e-09
-4.46,4700.6,0.0773573,300000.0,0.0,0.0,0.0,0.0,573.36,694.7,2.315e-09
-4.59,4698.5,0.0703296,300000.0,0.0,0.0,0.0,0.0,585.49,621.55,2.0722e-09
-4.72,4688.5,0.064003,300000.0,0.0,0.0,0.0,0.0,596.25,563.02,1.8811e-09
-4.85,4678.5,0.0588642,300000.0,0.0,0.0,0.0,0.0,605.6,516.59,1.7297e-09
-4.98,4669.1,0.054757,300000.0,0.0,0.0,0.0,0.0,613.55,480.1,1.6107e-09
-5.11,4656.3,0.051229,300000.0,0.0,0.0,0.0,0.0,620.15,451.69,1.5196e-09
-5.24,4639.1,0.0481263,300000.0,0.0,0.0,0.0,0.0,625.53,429.71,1.451e-09
-5.37,4626.3,0.0458354,300000.0,0.0,0.0,0.0,0.0,629.84,412.85,1.3979e-09
-5.5,4607.8,0.0437853,300000.0,0.0,0.0,0.0,0.0,633.24,400.0,1.3598e-09
