# SIR model converted to cusir preset
"# header: B0 = 2., gamma0 = 1., stray = 0. %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.2,9918.0,7546.82,60000.0,0.0,100000.0,0.0,0.0,-111.85,170010.0,2.6852e-07
1.1,9363.1,4440.07,60000.0,0.0,100000.0,0.0,0.0,-107.85,167000.0,2.7939e-07
1.0,8881.5,2635.74,60000.0,0.0,100000.0,0.0,0.0,-102.62,162930.0,2.8737e-07
0.9,8473.6,1609.78,60000.0,0.0,100000.0,0.0,0.0,-96.119,157770.0,2.9165e-07
0.8,8139.1,1030.94,60000.0,0.0,100000.0,0.0,0.0,-88.425,151610.0,2.918e-07
0.7,7869.8,697.435,60000.0,0.0,100000.0,0.0,0.0,-79.743,144720.0,2.8805e-07
0.6,7620.4,473.081,60000.0,0.0,100000.0,0.0,0.0,-70.163,137230.0,2.821e-07
0.5,7411.9,333.783,60000.0,0.0,100000.0,0.0,0.0,-59.738,129300.0,2.7327e-07
0.4,7227.9,240.56,60000.0,0.0,100000.0,0.0,0.0,-48.582,121120.0,2.6248e-07
0.3,7069.2,178.185,60000.0,0.0,100000.0,0.0,0.0,-36.786,112830.0,2.5002e-07
0.2,6940.2,137.362,60000.0,0.0,100000.0,0.0,0.0,-24.533,104670.0,2.3625e-07
0.1,6843.9,111.394,60000.0,0.0,100000.0,0.0,0.0,-12.137,96887.0,2.2176e-07
0.0,6778.5,95.2041,60000.0,0.0,100000.0,0.0,0.0,0.0,89743.0,2.0739e-07
-0.1,6706.7,80.357,60000.0,0.0,100000.0,0.0,0.0,11.707,83290.0,1.9454e-07
-0.2,6643.7,68.8718,60000.0,0.0,100000.0,0.0,0.0,22.965,77466.0,1.8265e-07
-0.3,6565.9,57.3712,60000.0,0.0,100000.0,0.0,0.0,33.806,72190.0,1.7222e-07
-0.4,6460.0,45.1776,60000.0,0.0,100000.0,0.0,0.0,44.526,67263.0,1.631e-07
-0.5,6340.1,34.4375,60000.0,0.0,100000.0,0.0,0.0,55.448,62511.0,1.5445e-07
-0.6,6224.3,26.3027,60000.0,0.0,100000.0,0.0,0.0,66.719,57877.0,1.4566e-07
-0.7,6104.2,19.8113,60000.0,0.0,100000.0,0.0,0.0,78.442,53340.0,1.3688e-07
-0.8,6002.3,15.4054,60000.0,0.0,100000.0,0.0,0.0,90.613,48929.0,1.2769e-07
-0.9,5917.5,12.3628,60000.0,0.0,100000.0,0.0,0.0,103.05,44735.0,1.1842e-07
-1.0,5841.6,10.0852,60000.0,0.0,100000.0,0.0,0.0,115.59,40817.0,1.0945e-07
-1.1,5767.1,8.24692,60000.0,0.0,100000.0,0.0,0.0,128.19,37184.0,1.01e-07
-1.2,5698.2,6.81872,60000.0,0.0,100000.0,0.0,0.0,140.79,33832.0,9.3005e-08
-1.3,5578.3,5.1409,60000.0,0.0,100000.0,0.0,0.0,153.7,30666.0,8.6113e-08
-1.4,5430.7,3.74315,60000.0,0.0,100000.0,0.0,0.0,167.38,27564.0,7.9507e-08
-1.5,5284.8,2.80245,60000.0,0.0,100000.0,0.0,0.0,181.82,24553.0,7.2777e-08
-1.6,5157.0,2.20116,60000.0,0.0,100000.0,0.0,0.0,196.65,21732.0,6.6013e-08
-1.7,5041.3,1.78164,60000.0,0.0,100000.0,0.0,0.0,211.5,19175.0,5.9581e-08
-1.8,4974.8,1.51571,60000.0,0.0,100000.0,0.0,0.0,226.21,16900.0,5.3216e-08
-1.9,4940.3,1.32443,60000.0,0.0,100000.0,0.0,0.0,240.79,14893.0,4.7222e-08
-2.0,4915.6,1.16607,60000.0,0.0,100000.0,0.0,0.0,255.3,13122.0,4.1816e-08
-2.1,4901.6,1.03472,60000.0,0.0,100000.0,0.0,0.0,269.78,11559.0,3.694e-08
-2.2,4892.8,0.921305,60000.0,0.0,100000.0,0.0,0.0,284.27,10178.0,3.2586e-08
-2.3,4872.8,0.812807,60000.0,0.0,100000.0,0.0,0.0,298.77,8958.2,2.8798e-08
-2.4,4850.7,0.715522,60000.0,0.0,100000.0,0.0,0.0,313.26,7880.5,2.5449e-08
-2.5,4837.3,0.633526,60000.0,0.0,100000.0,0.0,0.0,327.78,6927.9,2.2434e-08
-2.6,4828.1,0.562116,60000.0,0.0,100000.0,0.0,0.0,342.36,6084.7,1.9741e-08
-2.7,4818.9,0.498129,60000.0,0.0,100000.0,0.0,0.0,357.06,5337.7,1.7351e-08
-2.8,4807.2,0.439917,60000.0,0.0,100000.0,0.0,0.0,371.9,4675.2,1.5234e-08
-2.9,4794.8,0.387573,60000.0,0.0,100000.0,0.0,0.0,386.91,4087.1,1.3353e-08
-3.0,4779.7,0.339954,60000.0,0.0,100000.0,0.0,0.0,402.16,3564.3,1.1681e-08
-3.1,4762.8,0.296898,60000.0,0.0,100000.0,0.0,0.0,417.7,3098.6,1.0191e-08
-3.2,4746.4,0.258414,60000.0,0.0,100000.0,0.0,0.0,433.65,2682.9,8.8543e-09
-3.3,4730.0,0.223803,60000.0,0.0,100000.0,0.0,0.0,450.13,2310.4,7.6513e-09
-3.4,4713.6,0.192542,60000.0,0.0,100000.0,0.0,0.0,467.38,1975.0,6.5636e-09
-3.5,4697.3,0.164147,60000.0,0.0,100000.0,0.0,0.0,485.69,1671.3,5.5734e-09
-3.6,4680.9,0.138103,60000.0,0.0,100000.0,0.0,0.0,505.55,1393.7,4.6639e-09
-3.7,4664.5,0.113914,60000.0,0.0,100000.0,0.0,0.0,527.82,1136.5,3.8167e-09
-3.8,4648.1,0.0909675,60000.0,0.0,100000.0,0.0,0.0,554.12,893.27,3.0104e-09
-3.9,4631.7,0.068361,60000.0,0.0,100000.0,0.0,0.0,588.26,654.56,2.2137e-09
-4.0,4615.4,0.0440651,60000.0,0.0,100000.0,0.0,0.0,644.22,400.0,1.3576e-09
