# SIR model converted to cusir preset
"# header: B0 = 1.000000, gamma0 = 1.000000, stray = 0.0000000E+00 %"
# units: T[K] Pe[dyn/cm^2] vmic[cm/s] B[G] vlos[cm/s] gamma[deg] phi[deg] Pg[dyn/cm^2] z[km] rho[g/cm^3]
ltau,T,Pe,vmic,B,vlos,gamma,phi,Pg,z,rho
1.2,8879.7,2998.31,0.0,0.0,0.0,0.0,0.0,-82.653,210590.0,3.6624e-07
1.1,8720.2,2469.27,0.0,0.0,0.0,0.0,0.0,-76.174,205430.0,3.6464e-07
1.0,8551.0,1989.33,0.0,0.0,0.0,0.0,0.0,-69.971,198910.0,3.6078e-07
0.9,8372.2,1567.82,0.0,0.0,0.0,0.0,0.0,-63.914,191770.0,3.5592e-07
0.8,8183.7,1208.74,0.0,0.0,0.0,0.0,0.0,-57.91,184780.0,3.5142e-07
0.7,7985.6,911.633,0.0,0.0,0.0,0.0,0.0,-51.896,178690.0,3.4877e-07
0.6,7777.9,672.597,0.0,0.0,0.0,0.0,0.0,-45.843,174240.0,3.496e-07
0.5,7557.6,475.281,0.0,0.0,0.0,0.0,0.0,-39.597,166620.0,3.444e-07
0.4,7326.3,325.088,0.0,0.0,0.0,0.0,0.0,-32.952,159930.0,3.413e-07
0.3,7083.8,215.232,0.0,0.0,0.0,0.0,0.0,-25.811,155070.0,3.4247e-07
0.2,6860.1,143.137,0.0,0.0,0.0,0.0,0.0,-18.067,148190.0,3.3809e-07
0.1,6640.1,93.8622,0.0,0.0,0.0,0.0,0.0,-9.5523,140490.0,3.3123e-07
0.0,6424.0,60.6914,0.0,0.0,0.0,0.0,0.0,0.0,131280.0,3.2e-07
-0.1,6239.3,41.5733,0.0,0.0,0.0,0.0,0.0,10.542,123950.0,3.1112e-07
-0.2,6072.2,29.1055,0.0,0.0,0.0,0.0,0.0,21.928,114680.0,2.9579e-07
-0.3,5922.8,20.8261,0.0,0.0,0.0,0.0,0.0,34.353,103300.0,2.7319e-07
-0.4,5777.8,15.3184,0.0,0.0,0.0,0.0,0.0,47.71,94370.0,2.5584e-07
-0.5,5643.8,11.5489,0.0,0.0,0.0,0.0,0.0,61.747,84963.0,2.3581e-07
-0.6,5520.8,8.92457,0.0,0.0,0.0,0.0,0.0,76.408,75513.0,2.1426e-07
-0.7,5409.8,7.08599,0.0,0.0,0.0,0.0,0.0,91.56,66721.0,1.932e-07
-0.8,5310.4,5.77373,0.0,0.0,0.0,0.0,0.0,106.96,58983.0,1.7399e-07
-0.9,5222.4,4.82788,0.0,0.0,0.0,0.0,0.0,122.26,52516.0,1.5752e-07
-1.0,5140.4,4.03386,0.0,0.0,0.0,0.0,0.0,137.41,46106.0,1.405e-07
